不客气 bu2ke4qi4
打电话 da3dian4hua4
没关系 mei2guan1xi4
打篮球 da3lan2qiu2
踢足球 ti1zu2qiu2
感兴趣 gan3xing4qu4
百分之 bai3fen1zhi1
不得不 bu4de2bu4
开玩笑 kai1wan2xiao4
打招呼 da3zhao1hu5
放暑假 fang4shu3jia4
受不了 shou4buliao3
弹钢琴 tan2gang1qin2
不要紧 bu4yao4jin3
打交道 da3jiao1dao4
打喷嚏 da3pen1ti4
系领带 ji4ling3dai4
似的 shi4de
