大使馆 da4shi3guan3
登机牌 deng1ji1pai2
底 di3
调查 diao4cha2
地点 di4dian3
地球 di4qiu2
地址 di4zhi3
动作 dong4zuo4
短信 duan3xin4
对话 dui4hua4
对面 dui4mian4
肚子 du4zi5
儿童 er2tong2
法律 fa3lü4
房东 fang2dong1
方法 fang1fa3
方面 fang1mian4
方向 fang1xiang4
翻译 fan1yi4
付款 fu4kuan3
父亲 fu4qin5
感觉 gan3jue2
感情 gan3qing2
高速公路 gao1su4gong1lu4
胳膊 ge1bo5
功夫 gong1fu5
工资 gong1zi1
广播 guang3bo1
广告 guang3gao4
关键 guan1jian4
管理 guan3li3
观众 guan1zhong4
规定 gui1ding4
顾客 gu4ke4
鼓励 gu3li4
过程 guo4cheng2
国籍 guo2ji2
国际 guo2ji4
果汁 guo3zhi1
海洋 hai3yang2
汗 han4
航班 hang2ban1
寒假 han2jia4
好处 hao3chu4
号码 hao4ma3
盒子 he2zi5
互联网 Hu4lian2wang3
活动 huo2dong4
护士 hu4shi5
价格 jia4ge2
家具 jia1ju4
奖金 jiang3jin1
将来 jiang1lai2
建议 jian4yi4
郊区 jiao1qu1
教授 jiao4shou4
交通 jiao1tong1
教育 jiao4yu4
饺子 jiao3zi5
加油站 jia1you2zhan4
基础 ji1chu3
节 jie2
结果 jie2guo3
解释 jie3shi4
计划 ji4hua4
警察 jing3cha2
经济 jing1ji4
京剧 jing1ju4
经历 jing1li4
景色 jing3se4
经验 jing1yan4
竞争 jing4zheng1
技术 ji4shu4
记者 ji4zhe3
聚会 ju4hui4
距离 ju4li2
看法 kan4fa3
烤鸭 kao3ya1
客厅 ke4ting1
科学 ke1xue2
空气 kong1qi4
空儿 kong4
矿泉水 kuang4quan2shui3
困难 kun4nan5
垃圾桶 la1ji1tong3
老虎 lao3hu3
联系 lian2xi4
礼拜天 li3bai4tian1
礼貌 li3mao4
零钱 ling2qian2
力气 li4qi5
理想 li3xiang3
律师 lü4shi1
旅行 lü3xing2
麻烦 ma2fan5
毛 mao2
毛巾 mao2jin1
梦 meng4
密码 mi4ma3
民族 min2zu2
目的 mu4di4
母亲 mu3qin1
耐心 nai4xin1
内 nei4
内容 nei4rong2
能力 neng2li4
年龄 nian2ling2
判断 pan4duan4
皮肤 pi2fu1
乒乓球 ping1pang1qiu2
平时 ping2shi2
批评 pi1ping2
脾气 pi2qi5
葡萄 pu2tao5
普通话 pu3tong1hua4
签证 qian1zheng4
桥 qiao2
巧克力 qiao3ke4li4
气候 qi4hou4
情况 qing2kuang4
亲戚 qin1qi5
其中 qi2zhong1
全部 quan2bu4
区别 qu1bie2
缺点 que1dian3
任务 ren4wu5
日记 ri4ji4
入口 ru4kou3
森林 sen1lin2
沙发 sha1fa1
勺子 shao2zi5
社会 she4hui4
省 sheng3
生活 sheng1huo2
生命 sheng1ming4
生意 sheng1yi5
申请 shen1qing3
失败 shi1bai4
师傅 shi1fu5
实际 shi2ji4
世纪 shi4ji4
首都 shou3du1
售货员 shou4huo4yuan2
收入 shou1ru4
数量 shu4liang4
顺序 shun4xu4
说明 shuo1ming2
硕士 shuo4shi4
数字 shu4zi4
速度 su4du4
塑料袋 su4liao4dai4
孙子 sun1zi5
态度 tai4du5
汤 tang1
糖 tang2
讨论 tao3lun4
特点 te4dian3
条件 tiao2jian4
同情 tong2qing2
通知 tong1zhi1
网球 wang3qiu2
网站 wang3zhan4
袜子 wa4zi5
味道 wei4dao4
卫生间 wei4sheng1jian1
危险 wei1xian3
温度 wen1du4
文章 wen2zhang1
误会 wu4hui4
污染 wu1ran3
橡皮 xiang4pi2
现金 xian4jin1
小吃 xiao3chi1
效果 xiao4guo3
笑话 xiao4hua4
小伙子 xiao3huo3zi5
小说 xiao3shuo1
消息 xiao1xi5
西红柿 xi1hong2shi4
信封 xin4feng1
性别 xing4bie2
幸福 xing4fu2
性格 xing4ge2
心情 xin1qing2
信息 xin4xi1
信心 xin4xin1
学期 xue2qi1
牙膏 ya2gao1
压力 ya1li4
亚洲 Ya4zhou1
盐 yan2
演出 yan3chu1
样子 yang4zi5
眼镜 yan3jing4
研究 yan2jiu1
演员 yan3yuan2
钥匙 yao4shi5
叶子 ye4zi5
意见 yi4jian4
印象 yin4xiang4
艺术 yi4shu4
优点 you1dian3
邮局 you2ju2
友谊 you3yi4
原因 yuan2yin1
约会 yue1hui4
语法 yu3fa3
羽毛球 yu3mao2qiu2
云 yun2
语言 yu3yan2
暂时 zan4shi2
杂志 za2zhi4
责任 ze2ren4
招聘 zhao1pin4
证明 zheng4ming2
支持 zhi1chi2
纸袋 zhi3dai4
质量 zhi4liang4
知识 zhi1shi5
植物 zhi2wu4
职业 zhi2ye4
重点 zhong4dian3
周围 zhou1wei2
专业 zhuan1ye4
主意 zhu2yi5
自然 zi4ran2
总结 zong3jie2
作家 zuo4jia1
座位 zuo4wei4
作用 zuo4yong4
左右 zuo3you4
作者 zuo4zhe3
爱心 ai4xin1
岸 an4
安慰 an1wei4
傍晚 bang4wan3
宝贝 bao3bei4
报道 bao4dao4
报告 bao4gao4
包裹 bao1guo3
报社 bao4she4
保险 bao3xian3
抱怨 bao4yuan4
把握 ba3wo4
背 bei1
背景 bei4jing3
被子 bei4zi5
本科 ben3ke1
本领 ben3ling3
本质 ben3zhi4
辩论 bian4lun4
鞭炮 bian1pao4
表达 biao3da2
标点 biao1dian3
表面 biao3mian4
表情 biao3qing2
表现 biao3xian4
标志 biao1zhi4
比例 bi3li4
病毒 bing4du2
冰激凌 bing1ji1ling2
玻璃 bo1li5
博物馆 bo2wu4guan3
脖子 bo2zi5
布 bu4
部门 bu4men2
步骤 bu4zhou4
财产 cai2chan3
采访 cai3fang3
彩虹 cai3hong2
操场 cao1chang3
测验 ce4yan4
差距 cha1ju4
常识 chang2shi2
产品 chan3pin3
叉子 cha1zi5
车库 che1ku4
程度 cheng2du4
成分 cheng2fen4
成果 cheng2guo3
称呼 cheng1hu5
成就 cheng2jiu4
成人 cheng2ren2
程序 cheng2xu4
成语 cheng2yu3
成长 cheng2zhang3
车厢 che1xiang1
翅膀 chi4bang3
池塘 chi2tang2
尺子 chi3zi5
充电器 chong1dian4qi4
宠物 chong3wu4
抽屉 chou1ti5
窗帘 chuang1lian2
传说 chuan2shuo1
传统 chuan2tong3
出口 chu1kou3
除夕 Chu2xi1
词汇 ci2hui4
从前 cong2qian2
醋 cu4
措施 cuo4shi1
代表 dai4biao3
贷款 dai4kuan3
待遇 dai4yu4
当地 dang1di4
单位 dan1wei4
胆小鬼 dan3xiao3gui3
单元 dan1yuan2
道德 dao4de2
道理 dao4li3
导演 dao3yan3
岛屿 dao3yu3
大厦 da4sha4
大象 da4xiang4
电池 dian4chi2
电台 dian4tai2
点心 dian3xin5
地理 di4li3
顶 ding3
地区 di4qu1
敌人 di2ren2
地毯 di4tan3
地位 di4wei4
地震 di4zhen4
洞 dong4
动画片 dong4hua4pian4
豆腐 dou4fu5
对方 dui4fang1
对手 dui4shou3
对象 dui4xiang4
耳环 er3huan2
罚款 fa2kuan3
发明 fa1ming2
方案 fang1an4
方式 fang1shi4
范围 fan4wei2
反应 fan3ying4
反映 fan3ying4
发票 fa1piao4
发言 fa1yan2
法院 fa3yuan4
废话 fei4hua4
肥皂 fei2zao4
奋斗 fen4dou4
风格 feng1ge2
风景 feng1jing3
风俗 feng1su2
风险 feng1xian3
分析 fen1xi1
辅导 fu3dao3
妇女 fu4nü3
服装 fu2zhuang1
改革 gai3ge2
概念 gai4nian4
钢铁 gang1tie3
感受 gan3shou4
感想 gan3xiang3
隔壁 ge2bi4
根 gen1
个人 ge4ren2
个性 ge4xing4
工厂 gong1chang3
工程 gong1cheng2
工具 gong1ju4
功能 gong1neng2
工人 gong1ren2
贡献 gong4xian4
工业 gong1ye4
公寓 gong1yu4
公元 gong1yuan2
公主 gong1zhu3
拐弯 guai3wan1
官 guan1
观察 guan1cha2
观点 guan1dian3
广场 guang3chang3
光明 guang1ming2
光盘 guang1pan2
冠军 guan4jun1
观念 guan1nian4
管子 guan3zi5
古代 gu3dai4
姑姑 gu1gu5
规矩 gui1ju5
规律 gui1lü4
规模 gui1mo2
柜台 gui4tai2
规则 gui1ze2
姑娘 gu1niang5
锅 guo1
国庆节 Guo2qing4jie2
果实 guo3shi2
国王 guo2wang2
股票 gu3piao4
骨头 gu3tou5
海关 hai3guan1
海鲜 hai3xian1
行业 hang2ye4
和平 He2ping2
合同 he2tong5
核心 he2xin1
后背 hou4bei4
后果 hou4guo3
猴子 hou2zi5
壶 hu2
黄金 huang2jin1
花生 hua1sheng1
话题 hua4ti2
化学 hua4xue2
华裔 hua2yi4
蝴蝶 hu2die2
灰 hui1
灰尘 hui1chen2
汇率 hui4lü4
婚礼 hun1li3
婚姻 hun1yin1
伙伴 huo3ban4
火柴 huo3chai2
胡同 hu2tong4
甲 jia3
嘉宾 jia1bin1
肩膀 jian1bang3
剪刀 jian3dao1
酱油 jiang4you2
讲座 jiang3zuo4
简历 jian3li4
键盘 jian4pan2
建设 jian4she4
兼职 jian1zhi2
建筑 jian4zhu4
教材 jiao4cai2
角度 jiao3du4
交际 jiao1ji4
教练 jiao4lian4
胶水 jiao1shui3
交往 jiao1wang3
教训 jiao4xun5
家庭 jia1ting2
家务 jia1wu4
家乡 jia1xiang1
价值 jia4zhi2
夹子 jia1zi5
接触 jie1chu4
阶段 jie1duan4
结构 jie2gou4
结合 jie2he2
借口 jie4kou3
结论 jie2lun4
戒指 jie4zhi5
记录 ji4lu4
纪录 ji4lu4
纪律 ji4lü4
精力 jing1li4
精神 jing1shen2
金属 jin1shu3
机器 ji1qi4
肌肉 ji1rou4
计算 ji4suan4
集体 ji2ti3
酒吧 jiu3ba1
救护车 jiu4hu4che1
舅舅 jiu4jiu5
记忆 ji4yi4
急诊 ji2zhen3
决赛 jue2sai4
角色 jue2se4
决心 jue2xin1
俱乐部 ju4le4bu4
军事 jun1shi4
桔子 ju2zi5
卡车 ka3che1
开发 kai1fa1
开幕式 kai1mu4shi4
开水 kai1shui3
课程 ke4cheng2
空间 kong1jian1
控制 kong4zhi4
口味 kou3wei4
会计 kuai4ji4
昆虫 kun1chong2
辣椒 la4jiao1
老百姓 lao3bai3xing4
老板 lao3ban3
劳动 lao2dong4
姥姥 lao3lao5
老婆 lao3po5
老鼠 lao3shu3
雷 lei2
类型 lei4xing2
梨 li2
恋爱 lian4ai4
粮食 liang2shi5
列车 lie4che1
力量 li4liang5
理论 li3lun4
铃 ling2
领导 ling3dao3
零件 ling2jian4
零食 ling2shi2
领域 ling3yu4
利润 li4run4
利息 li4xi1
利益 li4yi4
理由 li3you2
龙 long2
陆地 lu4di4
论文 lun4wen2
逻辑 luo2ji5
录音 lu4yin1
麦克风 mai4ke4feng1
馒头 man2tou5
毛病 mao2bing4
矛盾 mao2dun4
冒险 mao4xian3
贸易 mao4yi4
魅力 mei4li4
眉毛 mei2mao5
美术 mei3shu4
煤炭 mei2tan4
