一 1
丨 1
丶 1
丿 1
乀 1
乙 1
乚 1
乛 1
𠃊 1
𠃋 1
𠃌 1
𠃍 1
亅 1
𠄌 1
𡿨 1
㣺 1
仒 4 ⿱𠆢⺀
仓 4 ⿱人㔾
允 4 ⿱厶儿
元 4 ⿱一兀
內 4 ⿻冂入
公 4 ⿱八厶
六 4 ⿱亠八
兮 4 ⿱八丂
冃 4 ⿵冂二
内 4 ⿻冂人
冈 4 ⿴冂㐅
𠔾 4 ⿱丿⿻⺆一
𠔿 4 ⿵冂人
冗 4 ⿱冖几
冘 4 ⿸⿻冖丿乚
㓁 4 ⿱冖儿
凤 4 ⿵𠘨又
凶 4 ⿶凵㐅
𠙶 4 ⿶凵了
刅 4 ⿰刃丶
分 4 ⿱八刀
切 4 ⿰七刀
刈 4 ⿰乂刂
𭃂 4 ⿻刀二
劝 4 ⿰又力
办 4 ⿻力八
𠠵 4 ⿺九力
勾 4 ⿹勹厶
勿 4 ⿹勹⿰丿丿
匀 4 ⿹勹冫
化 4 ⿰亻𠤎
𠤏 4 ⿱匕十
𫧇 4 ⿱匕匕
匹 4 ⿷匚儿
区 4 ⿷匚㐅
卅 4 ⿻川一
升 4 ⿱丿廾
午 4 ⿱𠂉十
卝 4 ⿲一丨⺊
卞 4 ⿱亠卜
卬 4 ⿰⿱丿𠄌卩
厃 4 ⿱⺈厂
厄 4 ⿸厂㔾
厅 4 ⿸厂丁
历 4 ⿸厂力
厷 4 ⿸𠂇厶
及 4 ⿻⿹𠄎丿乀
友 4 ⿸𠂇又
双 4 ⿰又又
反 4 ⿸𠂆又
㕚 4 ⿰丶叉
㕛 4 ⿱又又
𠬝 4 ⿸卩又
𠮛 4 ⿱一口
𫩏 4 ⿻口丨
圡 4 ⿷土丶
龶 4 ⿻一土
𡈼 4 ⿱丿土
壬 4 ⿱丿士
夃 4 ⿵乃又
天 4 ⿱一大
太 4 ⿵大丶
夫 4 ⿻二人
夬 4 ⿻𠃍大
夭 4 ⿱丿大
孔 4 ⿰子乚
㝉 4 ⿱宀一
少 4 ⿱𡭔丿
尣 4 ⿱八儿
尤 4 ⿺尢丶
𡯃 4 ⿸𠂇𠤎
尺 4 ⿸尸㇏
屯 4 ⿻一𡳾
㞢 4 ⿱屮一
巴 4 ⿴巳丨
巿 4 ⿻一巾
帀 4 ⿱一巾
币 4 ⿱丿巾
幻 4 ⿰幺𠃌
廿 4 ⿵卄一
开 4 ⿱一廾
弔 4 ⿻弓丨
引 4 ⿰弓丨
心 4 ⿲丿⿺乚丶丶
忆 4 ⿰忄乙
戈 4 ⿻弋丿
戶 4 ⿸𠂆コ
户 4 ⿱丶尸
手 4 ⿻𠂌一
扎 4 ⿰扌乚
支 4 ⿱十又
攴 4 ⿱⺊又
攵 4 ⿱𠂉乂
文 4 ⿱亠乂
斗 4 ⿽⿻㇀丨⺀
斤 4 ⿸𠂆丅
方 4 ⿱丶万
无 4 ⿱一尢
旡 4 ⿸⿻丆𠃋乚
日 4 ⿴囗一
曰 4 ⿴囗一
月 4 ⿵⺆𠄠
木 4 ⿻十𠆢
朩 4 ⿻一小
欠 4 ⿱⺈人
止 4 ⿱⿰丨⺊一
龰 4 ⿺人⺊
𣥂 4 ⿱𰍧丿
歹 4 ⿱一夕
𣦵 4 ⿱⺊𠔼
殳 4 ⿱𠘧又
毋 4 ⿻⿻𠃋𠃌𠂇
毌 4 ⿻⿻𠃋𠃍十
比 4 ⿰⿺𠄌一匕
毛 4 ⿱丿⿻二乚
氏 4 ⿸⿱丿𠄌𫠠
气 4 ⿳𠂉一⺄
水 4 ⿰𰛄⿺㇏丿
火 4 ⿻⿰丿丿人
灬 4 ⿰丿⿲丶丶丶
爪 4 ⿸𠂆⿰丨乀
爫 4 ⿱丿𭕄
父 4 ⿱八乂
爻 4 ⿱㐅乂
爿 4 ⿰⿱𠃊丆丨
片 4 ⿰丿⿱丄𠃍
牙 4 ⿹⿻𠃋丁丿
牛 4 ⿻𠂉十
牜 4 ⿻𠂉⿻㇀丨
犬 4 ⿺大丶
犮 4 ⿺友丶
王 4 ⿱一土
𤣩 4 ⿳一十㇀
礻 4 ⿸𪜊卜
耂 4 ⿻丿土
肀 4 ⿻コ十
艹 4 ⿻十丨
艺 4 ⿱艹乙
龷 4 ⿱卄一
𧘇 4 ⿰⿱丿𠄌⿺㇏丿
见 4 ⿻冂儿
计 4 ⿰讠十
订 4 ⿰讠丁
讣 4 ⿰讠卜
认 4 ⿰讠人
讥 4 ⿰讠几
贝 4 ⿻冂人
车 4 ⿻⿻一𠃋十
辶 4 ⿳丶𠃍乀
长 4 ⿺⿸⿻𠄌一㇏丿
闩 4 ⿵门一
韦 4 ⿻⿱二𠃌丨
风 4 ⿵𠘨㐅
且 5 ⿱⺝一
丕 5 ⿱不一
世 5 ⿻廿𠃊
丘 5 ⿱斤一
丙 5 ⿱一内
业 5 ⿶䒑⿰丨丨
丛 5 ⿱从一
东 5 ⿻⿻一𠃋小
