tiao4 跳眺粜
tian1 天添黇
ta3 塔獭鳎
sui2 随绥隋
shun4 顺瞬舜
shui4 睡税帨
shuan1 栓拴闩
she2 蛇舌佘
shang4 上尚绱
shang3 赏晌垧
shan3 闪陕晱
san3 伞糁馓
san1 三叁毵
sai1 腮噻鳃
sa3 洒潵靸
sa1 撒仨挲
ru3 辱乳汝
ren3 忍稔荏
ren2 人仁壬
rang3 嚷壤攘
que1 缺炔阙
qin4 沁吣揿
qiao3 巧悄愀
qiang3 抢羟襁
qia4 恰洽髂
qia1 掐袷葜
pou2 抔掊裒
po3 叵钷笸
po2 婆鄱皤
pie1 撇瞥氕
piao4 票嘌蔈
piao2 嫖瓢薸
pian3 谝𡎚
pao4 泡炮疱
pang1 乓滂雱
ning4 泞佞甯
niao3 鸟袅茑
nian4 念廿埝
nian2 年黏鲇
nao4 闹淖臑
nan3 蝻赧腩
mie4 灭蔑篾
miao4 妙庙缪
mang3 莽蟒漭
ma4 骂杩祃
ma2 吗麻蟆
lü2 驴榈闾
lou3 搂篓嵝
liu4 六遛鹨
ling4 另令呤
kua4 跨胯挎
kong3 恐孔倥
kai1 开揩锎
jie3 解姐檞
hun4 混诨溷
hui3 毁悔虺
huang4 晃㿠滉
huang3 谎幌恍
huang1 荒慌肓
hua1 花哗砉
hao1 蒿薅嚆
hai3 海醢胲
ga2 噶钆尜
feng2 逢冯浲
fei2 肥腓淝
er4 二贰咡
duo2 夺铎踱
dou1 兜蔸篼
de2 得德锝
dai3 逮歹傣
cun1 村皴邨
cuan4 窜篡爨
cou4 凑辏腠
ci1 疵跐呲
chuo1 戳踔逴
chuang2 床幢噇
chuan1 穿川氚
chou1 抽瘳犨
chong2 虫崇漴
cheng3 逞骋庱
chai2 柴豺侪
cha3 衩镲蹅
ceng2 曾层嶒
can4 灿璨粲
can3 惨黪䅟
can2 残惭蚕
can1 参餐骖
bing4 并病摒
bing1 冰兵槟
bie2 别蹩癿
biao4 俵摽鳔
ben4 笨坌倴
ben3 本苯畚
bang3 绑膀榜
bai4 拜败稗
ba3 把靶钯
