的 de5  ⿰白勺 0
始 shi3 屎使矢史豕驶 ⿰女台 108
元 yuan2 垣源猿湲沅员袁妧援爰 ⿱一兀 109
出 chu1 䢺樗初䝙摴 ⿱屮凵 110
话 hua4 画化桦划觟婳 ⿰讠舌 111
像 xiang4 项象向珦巷橡 ⿰亻象 112
真 zhen1 瑧贞榛浈箴侦针胗臻葴 ⿱十具 113
事 shi4 螫轼世视试氏示媞市柿 ⿻⿱𠮛⺕亅 114
学 xue2 茓峃踅噱穴 ⿱𰃮子 115
生 sheng1 笙甥升陞声昇牲 ⿻𠂉土 116
于 yu2 鱼愚渝欤舁逾瑜萸嵛臾 ⿱一𬺰 117
或 huo4 货濩㸌藿祸嚯霍镬豁蠖 ⿹戈⿱口㇀ 118
跟 gen1 根 ⿰𧾷艮 119
并 bing4 病摒 ⿱丷开 120
第 di4 菂缔帝蒂媂玓棣碲𤧛递 ⿱𥫗𢎨 121
当 dang1 裆筜珰 ⿱⺌𫜹 122
些 xie1 蝎揳歇楔 ⿱此二 123
儿 er2 鲕鸸耏陑而 ⿰丿乚 124
前 qian2 荨掮钤潜乾黔虔靬墘钳 ⿱䒑刖 125
觉 jue2 珏矍桷掘决绝𫘝攫崛镢 ⿱𰃮见 126
怎 zen3  ⿱乍心 127
活 huo2 佸 ⿰氵舌 128
孩 hai2 骸 ⿰子亥 129
子 zi3 秭耔籽訾梓虸笫紫滓姊 ⿻了一 130
起 qi3 企玘乞杞启婍绮屺岂芑 ⿺走巳 131
名 ming2 瞑螟铭洺鸣茗冥溟暝明 ⿱夕口 132
听 ting1 桯汀烃厅𬘩 ⿰口斤 133
叫 jiao4 斠皭峤徼醮噍较酵轿教 ⿰口丩 134
本 ben3 畚苯 ⿻木一 135
比 bi3 妣俾芘沘吡秕匕舭笔彼 ⿰⿺𠄌一匕 136
钱 qian2 荨黔靬前掮钳墘钤乾虔 ⿰钅戋 137
高 gao1 睾糕皋膏篙槔羔 ⿳亠口冋 138
太 tai4 酞泰态肽钛汰 ⿵大丶 139
其 qi2 蕲愭𬨂骑奇圻𨙸芪畦䓫 ⿴共𠄠 140
爱 ai4 碍瑷砹隘暧嗌艾叆嫒 ⿳爫冖友 141
位 wei4 尉碨蔚胃鳚慰谓喂煟霨 ⿰亻立 142
找 zhao3 爪沼 ⿰扌戈 143
长 zhang3 掌仉涨 ⿺⿸⿻𠄌一㇏丿 144
喜 xi3 屣蓰铣禧徙枲𬶮玺葸洗 ⿱壴口 145
欢 huan1 獾 ⿰又欠 146
道 dao4 纛盗稻到悼 ⿺辶首 147
美 mei3 媄浼每镁渼 ⿱𦍌大 148
笑 xiao4 涍哮孝肖滧校啸效敩 ⿱𥫗夭 149
打 da3  ⿰扌丁 150
东 dong1 冬咚氡鸫𬟽岽 ⿻⿻一𠃋小 151
西 xi1 晞稀蜥恓釐熄皙俙溪息 ⿱一𠁤 152
谁 shei2  ⿰讠隹 153
北 bei3  ⿲⿱一㇀丨匕 154
京 jing1 旌经茎晶猄粳惊菁泾荆 ⿳亠口小 155
买 mai3 荬 ⿱乛头 156
成 cheng2 珵澂珹铖程乘诚橙澄承 ⿵戊𠃌 157
二 er4 咡贰 ⿱一一 158
使 shi3 屎驶史豕始矢 ⿰亻吏 159
写 xie3  ⿱冖与 160
条 tiao2 笤鲦蜩龆迢髫 ⿱夂朩 161
四 si4 肆驷祀涘寺泗耜姒笥汜 ⿴囗⿰丿㇄ 162
由 you2 铀繇鲉游𬨎莸莜犹猷蚰 ⿻日丨 163
方 fang1 坊芳牥邡蚄枋钫 ⿱丶万 164
应 ying4 媵映硬 ⿸广⿱𭕄一 165
该 gai1 赅晐荄陔垓 ⿰讠亥 166
请 qing3 庼苘顷 ⿰讠青 167
非 fei1 飞鲱霏𬴂绯啡菲蜚妃扉 ⿰⿰三丨⿰丨三 168
常 chang2 徜尝鲿苌嫦偿肠 ⿱𫩠巾 169
发 fa1  ⿺⿸⿻𠃋丿又丶 170
今 jin1 金襟衿珒𬬱斤津巾筋矜 ⿱亽㇇ 171
带 dai4 代待叇贷迨殆怠轪黛戴 ⿳卅冖巾 172
岁 sui4 燧碎遂旞邃祟襚穗𬭼穟 ⿱山夕 173
世 shi4 铈嗜逝䏡示襫誓饰拭弑 ⿻廿𠃊 174
界 jie4 芥戒疥悈蚧骱届借玠褯 ⿱田介 175
坐 zuo4 怍祚唑岞座做胙阼酢作 ⿻土从 176
然 ran2 蚺髯燃 ⿱⿰𱼀犬灬 177
定 ding4 碇订啶锭萣腚 ⿱宀𤴓 178
