林 lin2 34
脚 jiao3 34
周 zhou1 34
居 ju1 34
痛 tong4 34
盘 pan2 34
沉 chen2 34
守 shou3 34
异 yi4 34
东 dong1 33
使 shi3 33
约 yue1 33
饭 fan4 33
建 jian4 33
轻 qing1 33
消 xiao1 33
肉 rou4 33
举 ju3 33
紧 jin3 33
牌 pai2 33
观 guan1 33
茶 cha2 33
队 dui4 33
礼 li3 33
密 mi4 33
灵 ling2 33
惊 jing1 33
毒 du2 33
在 zai4 32
从 cong2 32
写 xie3 32
告 gao4 32
望 wang4 32
员 yuan2 32
历 li4 32
黑 hei1 32
近 jin4 32
引 yin3 32
农 nong2 32
票 piao4 32
职 zhi2 32
细 xi4 32
致 zhi4 32
铁 tie3 32
温 wen1 32
势 shi4 32
里 li3 31
展 zhan3 31
认 ren4 31
者 zhe3 31
快 kuai4 31
评 ping2 31
备 bei4 31
课 ke4 31
雨 yu3 31
编 bian1 31
初 chu1 31
药 yao4 31
堂 tang2 31
沙 sha1 31
景 jing3 31
暗 an4 31
乡 xiang1 31
去 qu4 30
等 deng3 30
题 ti2 30
应 ying4 30
头 tou5 30
楼 lou2 30
服 fu2 30
算 suan4 30
营 ying2 30
杂 za2 30
州 zhou1 30
销 xiao1 30
顶 ding3 30
牛 niu2 30
招 zhao1 30
河 he2 30
救 jiu4 30
升 sheng1 30
局 ju2 30
剧 ju4 30
是 shi4 29
做 zuo4 29
重 chong2 29
谈 tan2 29
故 gu4 29
卖 mai4 29
德 de2 29
母 mu3 29
格 ge2 29
增 zeng1 29
派 pai4 29
停 ting2 29
冷 leng3 29
阳 yang2 29
效 xiao4 29
围 wei2 29
独 du2 29
角 jiao3 29
脱 tuo1 29
临 lin2 29
散 san4 29
暴 bao4 29
就 jiu4 28
次 ci4 28
间 jian1 28
便 bian4 28
读 du2 28
脸 lian3 28
式 shi4 28
除 chu2 28
错 cuo4 28
整 zheng3 28
计 ji4 28
班 ban1 28
戏 xi4 28
投 tou2 28
翻 fan1 28
急 ji2 28
奇 qi2 28
型 xing2 28
假 jia3 28
足 zu2 28
波 bo1 28
轮 lun2 28
减 jian3 28
恶 e4 28
补 bu3 28
骨 gu3 28
探 tan4 28
像 xiang4 27
友 you3 27
万 wan4 27
讲 jiang3 27
十 shi2 27
试 shi4 27
境 jing4 27
治 zhi4 27
换 huan4 27
族 zu2 27
列 lie4 27
云 yun2 27
念 nian4 27
印 yin4 27
速 su4 27
宝 bao3 27
害 hai4 27
毛 mao2 27
顺 shun4 27
配 pei4 27
征 zheng1 27
审 shen3 27
吃 chi1 26
北 bei3 26
何 he2 26
半 ban4 26
务 wu4 26
示 shi4 26
干 gan4 26
乐 le4 26
注 zhu4 26
座 zuo4 26
支 zhi1 26
助 zhu4 26
医 yi1 26
院 yuan4 26
具 ju4 26
调 tiao2 26
严 yan2 26
压 ya1 26
枪 qiang1 26
江 jiang1 26
迷 mi2 26
罪 zui4 26
露 lu4 26
私 si1 26
劳 lao2 26
隐 yin3 26
儿 er2 25
叫 jiao4 25
太 tai4 25
喜 xi3 25
功 gong1 25
简 jian3 25
思 si1 25
层 ceng2 25
唱 chang4 25
议 yi4 25
静 jing4 25
雪 xue3 25
护 hu4 25
龙 long2 25
室 shi4 25
旧 jiu4 25
端 duan1 25
器 qi4 25
圆 yuan2 25
胜 sheng4 25
阴 yin1 25
折 zhe2 25
种 zhong3 24
件 jian4 24
此 ci3 24
许 xu3 24
英 ying1 24
处 chu4 24
类 lei4 24
设 she4 24
双 shuang1 24
基 ji1 24
亮 liang4 24
户 hu4 24
随 sui2 24
超 chao1 24
源 yuan2 24
争 zheng1 24
冲 chong1 24
刻 ke4 24
微 wei1 24
富 fu4 24
冰 bing1 24
彩 cai3 24
奖 jiang3 24
威 wei1 24
卫 wei4 24
缺 que1 24
遗 yi2 24
刺 ci4 24
武 wu3 24
盛 sheng4 24
航 hang2 24
所 suo3 23
四 si4 23
界 jie4 23
行 hang2 23
拉 la1 23
往 wang3 23
决 jue2 23
跑 pao3 23
套 tao4 23
赛 sai4 23
婚 hun1 23
置 zhi4 23
纸 zhi3 23
怀 huai2 23
疑 yi2 23
松 song1 23
汉 han4 23
田 tian2 23
激 ji1 23
善 shan4 23
犯 fan4 23
舞 wu3 23
狂 kuang2 23
餐 can1 23
逃 tao2 23
财 cai2 23
税 shui4 23
射 she4 23
元 yuan2 22
及 ji2 22
习 xi2 22
切 qie4 22
象 xiang4 22
参 can1 22
越 yue4 22
相 xiang4 22
未 wei4 22
极 ji2 22
克 ke4 22
环 huan2 22
穿 chuan1 22
根 gen1 22
共 gong4 22
背 bei4 22
负 fu4 22
银 yin2 22
依 yi1 22
刀 dao1 22
归 gui1 22
创 chuang4 22
园 yuan2 22
追 zhui1 22
例 li4 22
烧 shao1 22
汇 hui4 22
述 shu4 22
攻 gong1 22
凉 liang2 22
闲 xian2 22
委 wei3 22
迹 ji4 22
虚 xu1 22
弱 ruo4 22
三 san1 21
再 zai4 21
并 bing4 21
觉 jue2 21
二 er4 21
非 fei1 21
今 jin1 21
网 wang3 21
准 zhun3 21
米 mi3 21
章 zhang1 21
处 chu3 21
父 fu4 21
获 huo4 21
福 fu2 21
尽 jin4 21
余 yu2 21
封 feng1 21
属 shu3 21
免 mian3 21
群 qun2 21
贵 gui4 21
态 tai4 21
雅 ya3 21
怪 guai4 21
久 jiu3 21
丝 si1 21
练 lian4 21
鸡 ji1 21
积 ji1 21
团 tuan2 21
甲 jia3 21
架 jia4 21
敌 di2 21
良 liang2 21
败 bai4 21
硬 ying4 21
登 deng1 21
粉 fen3 21
腰 yao1 21
淡 dan4 21
扬 yang2 21
洋 yang2 21
悲 bei1 21
浮 fu2 21
着 zhe5 20
而 er2 20
才 cai2 20
发 fa4 20
坐 zuo4 20
张 zhang1 20
晚 wan3 20
终 zhong1 20
息 xi1 20
持 chi2 20
兴 xing1 20
洗 xi3 20
批 pi1 20
坏 huai4 20
限 xian4 20
优 you1 20
待 dai4 20
借 jie4 20
挂 gua4 20
春 chun1 20
承 cheng2 20
险 xian3 20
灯 deng1 20
童 tong2 20
素 su4 20
抽 chou1 20
邮 you2 20
末 mo4 20
牙 ya2 20
寒 han2 20
止 zhi3 20
禁 jin4 20
偏 pian1 20
滑 hua2 20
拜 bai4 20
徒 tu2 20
残 can2 20
潮 chao2 20
谋 mou2 20
着 zhuo2 19
两 liang3 19
将 jiang4 19
儿 r5 19
欢 huan1 19
请 qing3 19
社 she4 19
五 wu3 19
难 nan4 19
完 wan2 19
史 shi3 19
乐 yue4 19
达 da2 19
脑 nao3 19
广 guang3 19
夫 fu1 19
跳 tiao4 19
诗 shi1 19
充 chong1 19
巴 ba1 19
党 dang3 19
短 duan3 19
奶 nai3 19
烈 lie4 19
赶 gan3 19
托 tuo1 19
麻 ma2 19
馆 guan3 19
圣 sheng4 19
耳 er3 19
闪 shan3 19
皇 huang2 19
透 tou4 19
缘 yuan2 19
怒 nu4 19
飘 piao1 19
尖 jian1 19
豆 dou4 19
敬 jing4 19
壮 zhuang4 19
还 huan2 18
至 zhi4 18
因 yin1 18
令 ling4 18
组 zu3 18
版 ban3 18
统 tong3 18
男 nan2 18
据 ju4 18
规 gui1 18
责 ze2 18
坚 jian1 18
志 zhi4 18
遇 yu4 18
采 cai3 18
访 fang3 18
床 chuang2 18
厚 hou4 18
恩 en1 18
吸 xi1 18
鬼 gui3 18
移 yi2 18
愿 yuan4 18
熟 shu2 18
含 han2 18
播 bo1 18
插 cha1 18
稿 gao3 18
降 jiang4 18
斗 dou4 18
呼 hu1 18
核 he2 18
横 heng2 18
聚 ju4 18
雷 lei2 18
幕 mu4 18
旗 qi2 18
缩 suo1 18
废 fei4 18
荒 huang1 18
中 zhong4 17
之 zhi1 17
没 mei2 17
其 qi2 17
句 ju4 17
玩 wan2 17
闻 wen2 17
即 ji2 17
睡 shui4 17
艺 yi4 17
验 yan4 17
丽 li4 17
弄 nong4 17
股 gu3 17
附 fu4 17
软 ruan3 17
检 jian3 17
店 dian4 17
值 zhi2 17
嘴 zui3 17
趣 qu4 17
骂 ma4 17
巨 ju4 17
藏 cang2 17
适 shi4 17
浪 lang4 17
镇 zhen4 17
玉 yu4 17
盖 gai4 17
典 dian3 17
执 zhi2 17
罗 luo2 17
曲 qu3 17
窗 chuang1 17
测 ce4 17
索 suo3 17
洞 dong4 17
谷 gu3 17
缓 huan3 17
污 wu1 17
俗 su2 17
繁 fan2 17
刑 xing2 17
荡 dang4 17
稀 xi1 17
个 ge4 16
给 gei3 16
由 you2 16
育 yu4 16
段 duan4 16
必 bi4 16
尔 er3 16
术 shu4 16
答 da2 16
府 fu3 16
拍 pai1 16
靠 kao4 16
百 bai3 16
阵 zhen4 16
梦 meng4 16
博 bo2 16
译 yi4 16
省 sheng3 16
