澤 泽
誘 诱
濟 济
暈 晕
償 偿
牽 牵
吶 呐
繩 绳
嬰 婴
鏈 链
閣 阁
訝 讶
瞞 瞒
緣 缘
鞏 巩
築 筑
勵 励
艱 艰
洩 泄
凍 冻
積 积
撥 拨
韓 韩
齒 齿
齡 龄
醬 酱
騷 骚
腸 肠
鋼 钢
劍 剑
犧 牺
階 阶
葉 叶
億 亿
穌 稣
膠 胶
賦 赋
徑 径
撐 撑
販 贩
譽 誉
陳 陈
懲 惩
擠 挤
詢 询
窮 穷
纏 缠
妝 妆
揚 扬
遙 遥
側 侧
艦 舰
虧 亏
誇 夸
籌 筹
遞 递
鈴 铃
縱 纵
襯 衬
恥 耻
冊 册
癮 瘾
喚 唤
婭 娅
諜 谍
睜 睁
鑒 鉴
稅 税
桿 杆
喲 哟
濕 湿
淚 泪
尷 尴
鬱 郁
幣 币
彌 弥
撫 抚
寵 宠
攪 搅
艙 舱
軌 轨
彎 弯
蠻 蛮
俠 侠
惱 恼
漸 渐
蘿 萝
悶 闷
債 债
腫 肿
詳 详
緩 缓
鷹 鹰
諸 诸
儲 储
績 绩
賈 贾
壘 垒
爐 炉
墊 垫
棟 栋
釣 钓
騰 腾
驅 驱
釘 钉
橫 横
覽 览
欖 榄
賊 贼
潰 溃
傭 佣
憂 忧
墜 坠
攔 拦
涼 凉
邏 逻
賠 赔
礦 矿
謬 谬
殼 壳
臘 腊
鋪 铺
賜 赐
塵 尘
罵 骂
窩 窝
瓊 琼
躍 跃
詐 诈
撲 扑
誼 谊
肅 肃
詛 诅
溝 沟
娛 娱
糾 纠
襪 袜
晉 晋
撿 捡
獅 狮
欄 栏
懶 懒
檳 槟
譜 谱
侶 侣
轟 轰
縣 县
懸 悬
貧 贫
諷 讽
勸 劝
詭 诡
樸 朴
蠟 蜡
蘋 苹
霧 雾
濃 浓
蓮 莲
鯊 鲨
鋒 锋
擴 扩
渾 浑
鹽 盐
僕 仆
煉 炼
謎 谜
餡 馅
贖 赎
腎 肾
斃 毙
燙 烫
姪 侄
嘍 喽
贈 赠
籠 笼
灣 湾
傘 伞
銬 铐
謹 谨
薦 荐
勻 匀
飄 飘
紳 绅
閏 闰
潤 润
鴨 鸭
龐 庞
貸 贷
叢 丛
飽 饱
剝 剥
蝦 虾
淺 浅
貪 贪
勛 勋
櫥 橱
鵝 鹅
漿 浆
訟 讼
懺 忏
搗 捣
饒 饶
謠 谣
鍋 锅
樁 桩
攤 摊
鉤 钩
蒼 苍
湊 凑
緝 缉
紗 纱
悅 悦
暢 畅
燭 烛
輔 辅
墮 堕
貢 贡
顛 颠
艷 艳
骯 肮
綜 综
雋 隽
攜 携
癢 痒
嘔 呕
墳 坟
鎊 镑
恆 恒
閱 阅
鈔 钞
鏢 镖
囉 啰
嚨 咙
飢 饥
崗 岗
嗚 呜
賄 贿
曬 晒
賢 贤
龜 龟
潑 泼
擬 拟
頸 颈
鴿 鸽
鈕 钮
翹 翘
灑 洒
檸 柠
濫 滥
鳴 鸣
礎 础
囑 嘱
錫 锡
憲 宪
剎 刹
刪 删
屆 届
繪 绘
蟻 蚁
漲 涨
頑 顽
廂 厢
頒 颁
錘 锤
鍛 锻
