卯 mao3 5
犯 fan4 5
外 wai4 5
处 "chu4, chu3" 5
冬 dong1 5
鸟 niao3 5
务 wu4 5
包 bao1 5
饥 ji1 5
主 zhu3 5
市 shi4 5
立 li4 5
冯 feng2 5
玄 xuan2 5
闪 shan3 5
兰 lan2 5
半 ban4 5
汁 zhi1 5
汇 hui4 5
头 tou2 5
汉 han4 5
宁 "ning2, ning4" 5
穴 xue2 5
它 ta1 5
讨 tao3 5
写 xie3 6
让 rang4 5
礼 li3 5
训 xun4 5
议 yi4 5
必 bi4 5
讯 xun4 5
记 ji4 5
永 yong3 5
司 si1 5
尼 ni2 5
民 min2 5
弗 fu2 5
弘 hong2 5
出 chu1 5
辽 liao2 5
奶 nai3 5
奴 nu2 5
召 "zhao4, shao4" 5
加 jia1 5
皮 pi2 5
边 bian1 5
孕 yun4 5
发 "fa1, fa4" 5
圣 sheng4 5
对 dui4 5
台 "tai2, tai1" 5
矛 mao2 5
纠 jiu1 5
母 mu3 5
幼 you4 5
丝 si1 5
邦 bang1 7
式 shi4 6
迂 yu1 6
刑 xing2 6
戎 rong2 6
动 dong4 6
扛 "gang1, kang2" 6
寺 si4 6
吉 ji2 6
扣 kou4 6
考 kao3 6
托 tuo1 6
老 lao3 6
巩 gong3 6
圾 ji1 6
执 zhi2 6
扩 kuo4 6
扫 "sao3, sao4" 6
地 "di4, de" 6
场 "chang3, chang2" 6
扬 yang2 6
耳 er3 6
芋 yu4 6
共 gong4 6
芒 mang2 6
亚 ya4 6
芝 zhi1 6
朽 xiu3 6
朴 "pu3, piao2, po4" 6
机 ji1 6
权 quan2 6
过 "guo4, guo1" 6
臣 chen2 6
吏 li4 6
再 zai4 6
协 xie2 6
西 xi1 6
压 "ya1, ya4" 6
厌 yan4 6
戌 "qu, xu1" 6
在 zai4 6
百 bai3 6
有 you3 6
存 cun2 6
而 er2 6
页 ye4 6
匠 jiang4 6
夸 kua1 6
夺 duo2 6
灰 hui1 6
达 da2 6
列 lie4 6
死 si3 6
成 cheng2 6
夹 "jia1, ga1, jia2" 6
夷 yi2 6
轨 gui3 6
邪 xie2 7
尧 yao2 6
划 "hua4, hua2" 6
迈 mai4 6
毕 bi4 6
至 zhi4 6
此 ci3 6
贞 zhen1 6
师 shi1 6
尘 chen2 6
尖 jian1 6
劣 lie4 6
光 guang1 6
当 "dang1, dang4" 6
早 zao3 6
吁 "xu1, yu1, yu4" 6
吐 "tu3, tu4" 6
吓 "xia4, he4" 6
虫 chong2 6
曲 "qu3, qu1" 6
团 tuan2 6
吕 lü3 6
同 "tong2, tong4" 6
吊 diao4 6
吃 chi1 6
因 yin1 6
吸 xi1 6
吗 "ma2, ma3, ma5" 6
吆 yao1 6
屿 yu3 7
屹 yi4 6
岁 sui4 6
帆 fan1 6
回 hui2 6
岂 qi3 6
则 ze2 6
刚 gang1 6
网 wang3 6
肉 rou4 6
年 nian2 6
朱 zhu1 6
先 xian1 6
丢 diu1 6
廷 ting2 7
舌 she2 6
竹 zhu2 6
迁 qian1 6
乔 qiao2 6
迄 qi4 6
伟 wei3 6
传 "chuan2, zhuan4" 6
乒 ping1 6
乓 pang1 6
休 xiu1 6
伍 wu3 6
伏 fu2 6
优 you1 6
臼 jiu4 6
伐 fa2 6
延 yan2 8
仲 zhong4 6
件 jian4 6
任 "ren4, ren2" 6
伤 shang1 6
价 "jia4, jie5" 6
伦 lun2 6
份 fen4 6
华 "hua2, hua4" 6
仰 yang3 6
仿 fang3 6
