一
乙
以 "⿲𠄌丶人 or ⿲⿱丨㇀丶人"
允 ⿱厶儿
予 ⿱龴𠄐
邓 ⿰又阝
劝 ⿰又力
双 ⿰又又
书
幻 ⿰幺𠃌
玉 "⿱一圡 or ⿷王丶"
刊 ⿰干刂
未 ⿻一木
末 ⿻一木
示 "⿱二小 or ⿱一𥘅 or ⿱一𡭕"
击 ⿻二山
打 ⿰扌丁
巧 ⿰工丂
正 ⿱一止
扑 ⿰扌卜
卉 ⿱十廾
扒 ⿰扌八
功 ⿰工力
扔 ⿰扌乃
去 ⿱土厶
甘 ⿻廿一
世 ⿻廿𠃊
艾 ⿱艹乂
古 ⿱十口
节 ⿱艹𰆊
本 ⿻木一
术 ⿺木丶
可 ⿹丁口
丙 ⿱一内
左 ⿸𠂇工
厉 ⿸厂万
石 ⿸丆口
右 ⿸𠂇口
布 ⿸𠂇巾
夯 ⿱大力
戊 ⿰丿戈
龙 ⿺𡯃丶
平 "⿻干丷(GHTJV) or ⿻干八(K)"
灭 ⿱一火
轧 ⿰车乚
东 ⿻⿻一𠃋小
卡 ⿱上卜
北 "⿲⿱一㇀丨匕(GJKV) or ⿰⿱⿰一丨㇀匕(HT)"
占 ⿱⺊口
凸 ⿵⿰⿳丨一丨㇎一
卢 ⿱⺊尸
业 "⿶䒑⿰丨丨 or ⿱⿰⿰丶丨⿰丨㇒一"
旧 ⿰丨日
帅 ⿰リ巾
归 "⿰リ𫜹(G) or ⿲丶丿𫜹(T)"
旦 ⿱日一
目 ⿴囗𠄠
且 "⿱⺝一 or ⿴𠀃𠄠"
叶 ⿰口十
甲 "⿻日丨 or ⿻囗十"
申 "⿻日丨 or ⿻囗十"
叮 ⿱口丁
电 ⿻日乚
号 ⿱口丂
田 ⿴囗十
由 "⿻日丨 or ⿻囗十"
只 ⿱口八
叭 ⿰口八
史 ⿻口乂
央 "⿻冂大 or ⿻𠀃人"
兄 ⿱口儿
叽 ⿰口几
叼 ⿰口刁
叫 ⿰口丩
叩 ⿰口卩
叨 ⿰口刀
另 ⿱口力
叹 ⿰口又
冉 ⿻冂土
皿 "⿴𠀃⿰丨丨 or ⿱𦉫一"
凹 ⿶凵⿰㇅⿱一丨
囚 ⿴囗人
四 "⿴囗⿰丿㇄(GHTV) or ⿴囗儿(JK)"
生 ⿻𠂉土
矢 "⿱𠂉大 or ⿰㇒天"
失 "⿰丿夫 or ⿻𠂉大"
乍 ⿱𠂉⿰丨二
禾 "⿱丿木 or ⿻千𠆢"
丘 ⿱斤一
付 ⿰亻寸
仗 ⿰亻丈
代 ⿰亻弋
仙 ⿰亻山
们 ⿰亻门
仪 ⿰亻义
白 ⿱丿日
仔 ⿰亻子
他 ⿰亻也
斥 "⿸斤丶 or ⿸𠂋卜"
瓜 "⿸𠂆⿰厶㇏ or ⿻𤓰丶"
乎 ⿻𠂌丷
丛 ⿱从一
令 "⿱亽龴(G) or ⿱亼龴(HTV) or ⿱亼𰆊(JK or Classical)"
用 "⿵⺆𰀁 or ⿻丨月"
甩 "⿻月乚(GHTK) or ⿻⿵冂𠄠乚(J)"
印 "⿰𠀉卩(JK) or ⿻卬一(GHT)"
尔 ⿱⺈小
乐 ⿻⿱丿𠃋小
句 ⿹勹口
匆 "⿻勿丶(U+5306) or ⿻勿乀(U+2F82A)"
册 ⿻⿰冂冂一
卯 ⿰𠂎卩
犯 ⿰犭㔾
外 ⿰夕卜(GHTVHK)
处 "⿺夂卜 or ⿺夂人"
冬 "⿱夂⺀ (GTJV) or ⿱夂冫 (K)"
鸟 ⿴乌丶
务 ⿱夂力
包 "⿹勹巳(GHTKV) or ⿹勹己(J or U+2F829)"
饥 ⿰饣几
主 "⿱丶王 or ⿱亠土"
市 "⿱丶帀 or ⿱亠巾"
立 ⿱亠䒑
冯 ⿰冫马
玄 ⿱亠幺
闪 ⿵门人
兰 "⿱丷三 or ⿱䒑二"
半 "⿻丷𰀁(GHTJV) or ⿻八𰀁(K)"
汁 ⿰氵十
汇 ⿰氵匚
头 ⿻⺀大
汉 ⿰氵又
宁 ⿱宀丁
穴 ⿱宀八
它 ⿱宀匕
讨 ⿰讠寸
写 "⿱冖与 or ⿱冖⿹⿺㇉一一(G) or ⿱冖⿻⿺㇉一一(TJK)"
让 ⿰讠上
礼 "⿰礻乚(U+793C) or ⿰示乚(U+FA18)"
训 ⿰讠川
议 ⿰讠义
必 ⿻心丿
讯 ⿰讠卂
记 ⿰讠己
永 ⿱丶⿲㇇𠃌⿺㇏丿
司 ⿹𠃌𠮛
尼 ⿸尸匕
民 ⿸⿰𠄌コ𫠠
弗 ⿻⿰丿丨弓
弘 ⿰弓厶
出 "⿱屮凵 or ⿻凵山"
辽 ⿺辶了
奶 ⿰女乃
奴 ⿰女又
召 ⿱刀口
加 ⿰力口
皮 ⿻⿱丨又⿰丿乛
边 ⿺辶力
孕 ⿱乃子
发 ⿺⿸⿻𠃋丿又丶
圣 ⿱又土
对 ⿰又寸
台 ⿱厶口
矛 ⿹予丿
纠 ⿰纟丩
母 ⿻⿻𠃋𠃌⿻⺀一
幼 ⿰幺力
