卓 zhuo2
掉 diao4
各 ge4
路 lu4
由 you2
寅 yin2
演 yan3
够 gou4
案 an4
舛 chuan3
舞 wu3
决 jue2
约 yue1
字 zi4
厄 e4
呃 e4
肯 ken3
夭 yao1
笑 xiao4
伤 shang1
申 shen1
神 shen2
旨 zhi3
指 zhi3
报 bao4
留 liu2
水 shui3
孝 xiao4
教 jiao4
仓 cang1
枪 qiang1
清 qing1
色 se4
号 hao4
廿 nian4
世 shi4
远 yuan3
片 pian4
师 shi1
原 yuan2
酉 you3
酒 jiu3
周 zhou1
星 xing1
识 shi2
赛 sai4
救 jiu4
氏 shi4
底 di3
奉 feng4
棒 bang4
须 xu1
收 shou1
交 jiao1
坐 zuo4
亭 ting2
停 ting2
卡 ka3
昏 hun1
婚 hun1
格 ge2
眼 yan3
金 jin1
虫 chong2
蛋 dan4
息 xi1
室 shi4
内 nei4
运 yun4
根 gen1
单 dan1
宝 bao3
哥 ge1
弓 gong1
张 zhang1
搞 gao3
战 zhan4
罗 luo2
声 sheng1
期 qi1
条 tiao2
肖 xiao4
消 xiao1
买 mai3
丙 bing3
病 bing4
束 shu4
敕 chi4
整 zheng3
奇 qi2
弟 di4
犯 fan4
衣 yi1
壮 zhuang4
装 zhuang1
您 nin2
送 song4
怕 pa4
户 hu4
护 hu4
度 du4
化 hua4
花 hua1
节 jie2
近 jin4
圣 sheng4
怪 guai4
持 chi2
光 guang1
与 yu3
牙 ya2
穴 xue2
穿 chuan1
愿 yuan4
景 jing3
影 ying3
山 shan1
击 ji1
史 shi3
吏 li4
使 shi3
曰 yue1
喝 he1
哭 ku1
器 qi4
示 shi4
祭 ji4
察 cha2
制 zhi4
林 lin2
麻 ma2
嘛 ma2
哈 ha1
助 zhu4
达 da2
待 dai4
托 tuo1
余 yu2
除 chu2
写 xie3
绝 jue2
介 jie4
界 jie4
帝 di4
姐 jie3
反 fan3
担 dan1
司 si1
虽 sui1
强 qiang2
仑 lun2
论 lun4
飞 fei1
业 ye4
亚 ya4
卖 mai4
续 xu4
视 shi4
空 kong1
军 jun1
跑 pao3
尺 chi3
尽 jin3
注 zhu4
弄 nong4
密 mi4
线 xian4
