一
乙
二
十
丁 一 亅
厂
七
卜
八
人
入
儿
匕
几
九
刁 𠃌 丿
了
刀
力
乃
又
三 二 一
干 一 十
于 二 亅
亏 一 丂
工
土
士
才
下 一 卜
寸
大
丈
与
万
上
小
口
山
巾 冂 丨
千 丿 十
乞 𠂉 乙 丿 一
川
亿 亻 乙 人
个 人 丨
夕
久
么 丿 厶
勺 勹 丶
凡 几 丶
丸 九 丶
及 乃 ㇏
广
亡 亠 乚
门
丫
义 乂 丶
之
尸
己
已
巳
弓
子
卫
也 乜 丨
女
刃 刀 丶
飞
习
叉 又 丶
马
乡
丰
王
开 一 廾
井
天 一 大
夫 一 大
元 一 兀 一 儿
无
云 二 厶
专
丐
扎 扌 乚
艺 艹 乙
木
五
支 十 又
厅 厂 丁 一 亅
不
犬 大 丶
太 大 丶
区 匚 乂
历 厂 力
歹 夕 一
友 𠂇 又 丿 一
尤
匹 匚 儿
车
巨
牙
屯
戈 弋 丿
比
互 一 彑
切 七 刀
瓦
止
少 小 丿
曰
日
中 口 丨
贝 冂 人
冈 冂 乂
内 冂 人
水
见 冂 儿
午 𠂉 十 丿 一
牛
手
气
毛
壬 丿 士
升
夭 丿 大
长
仁 亻 二 人
什 亻 十 人
片
仆 亻 卜 人
化 亻 匕 人
仇 亻 九 人
币 丿 巾 冂 丨
仍 亻 乃 人
仅 亻 又 人
斤
爪
反 ⺁ 又
介 人 儿*
父
从 人
仑 人 匕
今 亼 ㇇ 人 一
凶 凵 乂
分 八 刀
乏 丿 之
公 八 厶
仓 人 㔾
月
氏
勿
欠
风 几 乂
丹
匀 勹 冫
乌
勾 勹 厶
凤 几 又
六 亠 八
文
亢 亠 几
方
火
为 力 丷
斗
忆 忄 乙
计 讠 十
订 讠 丁 一 亅
户 丶 尸
认 讠 人
冗 冖 几
讥 讠 几
心
尺 尸 ㇏
引 弓 丨
丑
巴
孔 子 乚
队 阝 人
办 力 丷
以 厶 人
允 厶 儿
予 龴 丁 一 亅
邓 又 阝
劝 又 力
双 又
书
幻 幺 ㇇
玉 王 丶
刊 干 刂 一 十
未 木 一
末 木 一
示 二 小
击 凵 扌
打 扌 丁 一 亅
巧 工 丂
正 一 止
扑 扌 卜
卉 十 廾
扒 扌 八
功 工 力
扔 扌 乃
去 土 厶
甘
世
艾 艹 乂
古 十 口
节 艹 卩
本 木 一
术 木 丶
可 口 丁 一 亅
丙 一 内 冂 人
左 𠂇 工 丿 一
厉 厂 万
石
右 𠂇 口 丿 一
布 𠂇 巾 丿 一 冂 丨
夯 大 力
戊 丿 戈 弋 丿
龙
平 干 丷 一 十
灭 一 火
轧 车 乚
东
卡 上 卜
北 爿? 匕
占 卜 口
凸
卢 卜 尸
业
旧 丨 日
帅 刂 巾 冂 丨
归 刂 彐
旦 日 一
目
且
叶 口 十
甲 曰 丨
申 曰 丨
叮 口 丁 一 亅
电 曰 乚
号 口 丂
田
由 曰 丨
只 口 八
叭 口 八
史 口 乂
央 冂 大
兄 口 儿
叽 口 几
叼 口 刁 𠃌 丿
叫 口 丩 丨
叩 口 卩
叨 口 刀
另 口 力
叹 口 又
冉 冂 土
皿
凹
囚 囗 人
四 囗 儿
生 牛 一
矢 𠂉 大 丿 一
失 丿 夫 一 大
乍
禾 丿 木
丘
付 亻 寸 人
仗 亻 丈 人
代 亻 弋 人
仙 亻 山 人
们 亻 门 人
仪 亻 义 人 乂 丶
白 日 丶
仔 亻 子 人
他 亻 也 人 乜 丨
斥 斤 丶
瓜
乎
丛 人 一
令 亼 龴 人 一
用 月 丨
甩 月 乚
印 厂二 卩
尔 ⺈ 小
乐
句 勹 口
匆 勿 丶
册
卯 𠂎 卩
犯 犭 㔾
外 夕 卜
处 夂 卜
冬 夂 冫
鸟
务 夂 力
包 勹 巳
饥 饣 几
主 丶 王
市 亠 巾 冂 丨
立
冯 冫 马
玄 亠 幺
闪 门 人
兰 丷 三 二 一
半
汁 氵 十
汇 氵 匚
头 大 冫
汉 氵 又
宁 宀 丁 一 亅
穴 宀 八
它 宀 匕
讨 讠 寸
写 冖 与
让 讠 上
礼 礻 乚
训 讠 川
议 讠 义 乂 丶
必 心 丿
讯 讠 卂 乁 十
记 讠 己
永 水 丶
司 𠃌 𠮛 一 口
尼 尸 匕
民
弗 弓 刂
弘 弓 厶
出 屮 凵
辽 辶 了
奶 女 乃
奴 女 又
召 刀 口
加 力 口
皮
边 辶 力
孕 乃 子
发
圣 又 土
对 又 寸
台 厶 口
矛
纠 纟 丩 丨
母
幼 幺 力
丝
邦 丰 阝
式 弋 工
迂 辶 于 二 亅
刑 开 刂 一 廾
戎 𠂇 戈 丿 一 弋 丿
动 云 力 二 厶
扛 扌 工
寺 土 寸
吉 士 口
扣 扌 口
考 耂 丂 土 丿
托 扌 乇 丿 七
老 耂 匕 土 丿
巩 工 凡 几 丶
圾 土 及 乃 ㇏
执 扌 丸 九 丶
扩 扌 广
扫 扌 彐
地 土 也 乜 丨
场 土 𠃓
扬 扌 𠃓
耳
芋 艹 于 二 亅
共 廿 廾
芒 艹 亡 亠 乚
亚
芝 艹 之
朽 木 丂
朴 木 卜
机 木 几
权 木 又
过 辶 寸
臣
吏 丈 口
再 一 冉 冂 土
协 十 办 力 丷
西 兀 口 一 儿
压 厂 圡 土 丶
厌 厂 犬 大 丶
戌 戊 一 丿 戈 弋 丿
在 才 土
百 一 白 日 丶
有 𠂇 月 丿 一
存 一亻 子
而
页 丆 贝 一 丿 冂 人
匠 匚 斤
夸 大 亏 一 丂
夺 大 寸
灰 厂 火
达 辶 大
列 歹 刂 夕 一
死 歹 匕 夕 一
成 戊 丁 丿 戈 弋 丿 一 亅
夹 夫 丷 一 大
夷 大 弓
轨 车 九
邪 牙 阝
尧 丈? 兀 一 儿
划 戈 刂 弋 丿
迈 辶 万
毕 比 十
至 𠫔 土 一 厶
此 止 匕
贞 卜 贝 冂 人
师 刂 帀 一 巾 冂 丨
尘 小 土
尖 小 大
劣 少 力 小 丿
光 ⺌ 兀 一 儿
当 小 彐
早 日 十
吁 口 于 二 亅
吐 口 土
吓 口 下 一 卜
虫
曲
团 囗 才
吕 口
同 冂 𠮛 一 口
吊 口 巾 冂 丨
吃 口 乞 𠂉 乙 丿 一
因 囗 大
吸 口 及 乃 ㇏
吗 口 马
吆 口 幺
屿 山 与
屹 山 乞 𠂉 乙 丿 一
岁 山 夕
帆 巾 凡 冂 丨 几 丶
回 囗 口
岂 山 己
则 贝 刂 冂 人
刚 冈 刂 冂 乂
网
肉 冂 仌 人
年
朱 丿 未 木 一
先 牛 儿
丢 壬 厶 丿 士
廷 廴 壬 丿 士
舌 千 口 丿 十
竹 亇 人* 亅
迁 辶 千 丿 十
乔 丿 夰 大 儿
迄 辶 乞 𠂉 乙 丿 一
伟 亻 韦 人
传 亻 专 人
乒 丘 丿
乓 丘 丶
休 亻 木 人
伍 亻 五 人
伏 亻 犬 人 大 丶
优 亻 尤 人
臼
伐 亻 戈 人 弋 丿
延 廴 正 一 止
仲 亻 中 人 口 丨
件 亻 牛 人
任 亻 壬 人 丿 士
伤 𠆧 力 亻 人 人
价 亻 介 人 人 儿*
伦 亻 仑 人 人 匕
份 亻 分 人 八 刀
华 化 十 亻 匕 人
仰 亻 卬 人 匚 卩
仿 亻 方 人
伙 亻 火 人
伪 亻 为 人 力 丷
自 目 丶
伊 亻 尹 人 彐 丿
血 皿 丶
向 丶 冋 冂 囗
似 亻 以 人 厶 人
后 ⺁ 𠮛 一 口
行 彳
舟
全 入 王
会 亼 𠫔 人 一 一 厶
杀 乂 朩
合 亼 口 人 一
兆
企 人 止
众 人
爷 父 卩
伞 人 丷十
创 仓 刂 人 㔾
肌 月 几
肋 月 力
朵 几 木
杂 九 朩
危 ⺈ 厄 厂 㔾
旬 勹 日
旨 匕 日
旭 九 日
负 ⺈ 贝 冂 人
