宀 mian2
亠 tou2
冖 mi4
氵 shui3
忄 xin1
钅 jin1
丿 pie3
丶 dian3
乀 na4
乁 na4
亅 gou1
㇀ ti2
灬 huo3
讠 yan2
衤 yi1
艹 cao3
⺈ yi4
攵 pu1
𠂉 jiu3
厶 si1
纟 si1
彡 shan1
刂 dao1
⺈ yi4
攵 pu1
龴 jue2
犭 quan3
扌 shou3
