巛,  
匀 4 ⿹勹冫
乌 4 ⿱丿马
勾 4 ⿹勹厶
凤 4 ⿵𠘨又
六 4 ⿱亠八
文 4 ⿱亠乂
亢 4 ⿱亠几
方 4 ⿱丶万
火 4 ⿻⿰丿丿人
为 4 ⿻⿵丶力丶
斗 4 ⿻⿻丨
忆 4 ⿰忄乙
计 4 ⿰讠十
订 4 ⿰讠丁
户 4 ⿱丶尸
认 4 ⿰讠人
冗 4 ⿱冖几
讥 4 ⿰讠几
心 4 ⿲丿⿺乚丶丶
尺 4 ⿸尸
引 4 ⿰弓丨
丑 4 ⿴十
巴 4 ⿴巳丨
孔 4 ⿰子乚
办 4 ⿻力八
允 4 ⿱厶儿
予 4 ⿱龴𠄐
劝 4 ⿰又力
双 4 ⿰又又
书 4 
幻 4 ⿰幺𠃌
世 4 ⿻廿𠃊
亓 4 ⿱一丌
韦 4 ⿻⿱二𠃌丨
丏 4 ⿱一⿰⿺𠃊丨𠃌
卅 4 ⿻川一
仄 4 ⿸厂人
厄 4 ⿸厂㔾
仃 4 ⿰亻丁
仉 4 ⿰亻几
仂 4 ⿰亻力
兮 4 ⿱八丂
刈 4 ⿰乂刂
爻 4 ⿱㐅乂
卞 4 ⿱亠卜
闩 4 ⿵门一
讣 4 ⿰讠卜
尹 4 ⿻𠂇
夬 4 ⿻𠃍大
爿 4 ⿰⿱𠃊丆丨
毋 4 ⿻⿻𠃋𠃌𠂇
卬 4 ⿰⿱丿𠄌卩
殳 4 ⿱𠘧又
𠙶 4 ⿶凵了
毌 4 ⿻⿻𠃋𠃍十
尣 4 ⿱八儿
攵 4 ⿱𠂉乂
灬 4 ⿰丿⿲丶丶丶
爫 4 ⿱丿𭕄
牜 4 ⿻𠂉⿻丨
艹 4 ⿻十丨
辶 4 ⿳丶𠃍乀
𠀉 4 
𰀡 4 
𠂑 4 
𠃜 4 
𠂒 4 
亖 4 二二
仌 4 人人
𭃂 4 
仒 4 𠆢
㓁 4 冖儿
刅 4 刃丶
𠔿 4 
冃 4 冂二
𠔾 4 
厃 4 厂
𫧇 4 
𠮛 4 
厷 4 𠂇厶
㕛 4 又又
㕚 4 丶叉
冘 4 冖丿乚
𠤏 4 
𠬝 4 
卝 4 一丨
𫩏 4 
內 4 冂入
龶 4 一土
圡 4 土丶
夃 4 乃又
𡈼 4 
㝉 4 宀一
𡯃 4 
帀 4 一巾
㞢 4 屮一
㣺 4 
朩 4 一小
巿 4 一巾
旡 4 丆𠃋乚
𣥂 4 
龰 4 人
𤣩 4 
犮 4 友丶
礻 4 𪜊卜
耂 4 丿土
肀 4 十
龷 4 卄一
𧘇 4 
𠠵 4 
𣦵 4 
戶 4 𠂆
攴 4 又
瓦 5 ⿵⿸⿱一𠄌丶
队 5 ⿰阝人
以 5 ⿲𠄌丶人
邓 5 ⿰又阝
玉 5 ⿱一圡
刊 5 ⿰干刂
未 5 ⿻一木
末 5 ⿻一木
