一二三亖
习羽
亇竹
人从仌
先兟
克兢
匕𫧇
卄卌
又双㕛叕
口吅吕𠱠品㗊
吉喆
土圭垚
夕多
夫㚘
子孖
山屾出
𡿨巜巛
幺𢆶
心惢
日昍昌晶
月朋
木林森
朿棘
毛㲎
水沝
火炏炎焱燚
爻㸚
瓜㼌
生甡
田畾
白㿟
百皕
目䀠
直矗
石砳
示祘
虎虤
虫䖵
豕豩
贝𲂻
赤赫
隹雔
马骉
