蔄 𬜬
蔔 卜
蔞 蒌
蔞 褛
蔦 茑
蔴 麻
蔿 𫇭
蕆 蒇
蕐 华
蕒 荬
蕓 芸
蕕 莸
蕘 荛
蕢 蒉
蕷 蓣
薀 蕰
薌 芗
薓 叁
薘 荙
薟 莶
薴 苎
藎 荩
藭 䓖
藴 蕴
藶 苈
藺 蔺
蘀 萚
蘄 蕲
蘞 蔹
蘡 樱
蘺 蓠
虉 𬟁
蛺 蛱
蜆 蚬
蜋 螂
蜨 蝶
蝀 𬟽
螮 䗖
蟣 虮
蟶 蛏
蠆 虿
蠐 蛴
蠨 蟏
衆 众
衇 脉
衊 蔑
衕 同
衚 胡
衹 只
袞 衮
袮 你
裏 里
裏 里
製 制
複 复
褌 裈
褘 袆
襀 𫌀
襏 袯
襝 裣
襴 襕
覌 观
覎 觃
覘 觇
覡 觋
覯 觏
覿 觌
觧 解
觴 觞
觶 觯
訁 讠
訏 𬣙
訒 讱
訢 䜣
訩 讻
註 注
詁 诂
詎 讵
詒 诒
詖 诐
詗 诇
詘 诎
詝 𬣞
詪 𬣳
詵 诜
詷 𫍣
詿 诖
誄 诔
誌 志
誚 诮
説 说
説 说
誶 谇
誾 訚
諑 诼
諓 𬣡
諗 谂
諝 谞
諞 谝
諟 𬤊
諤 谔
諲 𬤇
諴 𫍯
諶 谌
諼 谖
謏 𫍲
謖 谡
謚 谥
謡 谣
謡 谣
謭 谫
譎 谲
譓 𬤝
譖 谮
譙 谯
譞 𫍽
譾 谫
讋 詟
讎 雠
讎 仇
讐 仇
讕 谰
讜 谠
讞 谳
豶 豮
貙 䝙
貰 贳
貲 赀
貺 贶
賕 赇
賙 赒
賚 赉
賧 赕
賫 赍
賵 赗
賻 赙
賾 赜
贃 赚
贄 贽
贇 赟
贋 赝
贐 赆
贔 赑
贛 赣
贜 赃
赬 赪
趲 趱
跙 趄
跴 跐
蹕 跸
蹟 速
蹷 蹶
躒 跞
躓 踬
躚 跹
躦 躜
軏 𫐄
軑 轪
軔 轫
軝 𬨂
軤 轷
軹 轵
軺 轺
軻 轲
輄 𨐈
輅 辂
輇 辁
輈 辀
輊 轾
輋 𪨶
輓 挽
輗 𫐐
輬 辌
輮 𫐓
輳 辏
輶 𬨎
輼 辒
轀 辒
轂 毂
轂 轱
轔 辚
轢 轹
迆 迤
迴 回
逕 迳
邐 逦
郞 郎
郟 郏
郷 乡
鄆 郓
鄖 郧
鄩 𬩽
鄳 𫑡
鄴 邺
鄶 郐
鄺 邝
酇 酂
酈 郦
醖 酝
醡 诈
醱 酦
醲 𬪩
釃 酾
釅 酽
釔 钇
釤 钐
釧 钏
釴 𬬩
釵 钗
釵 叉
釿 𬬱
鈃 钘
鈄 钭
鈇 𫓧
鈎 钩
鈐 钤
鈥 钬
鈧 钪
鈮 铌
鈿 钿
鉊 𬬿
鉞 钺
鉢 钵
鉥 𬬸
鉦 钲
鉧 𬭁
鉬 钼
鉮 𬬹
鉶 铏
鉷 𫟹
鉺 铒
銈 𫓯
銍 铚
銓 铨
銚 铫
銱 铞
銶 𨱇
鋐 𬭎
鋗 𫓶
鋙 铻
鋝 锊
鋟 锓
鋣 铘
鋭 锐
鋭 锐
鋮 铖
鋱 铽
鋶 锍
鋹 𬬮
錀 𬬭
錁 锞
錆 锖
錈 锩
錕 锟
錞 𬭚
錟 锬
錡 锜
錤 𫓹
録 录
錶 表
鍃 锪
鍇 锴
鍈 锳
鍚 钖
鍠 锽
鍤 锸
鍭 𬭤
鍾 钟
鎓 𬭩
鎛 镈
鎝 𨱏
鎡 镃
鎣 蓥
鎦 镏
鎪 锼
鎭 镇
鎰 镒
鎲 镋
鎸 镌
鏇 旋
鏌 镆
鏏 𬭬
鏐 镠
鏑 镝
鏝 镘
鏵 铧
鏹 镪
鏺 䥽
鏻 𬭸
鏽 锈
鐃 铙
鐄 𨱑
鐇 𫔍
鐋 铴
鐍 𫔎
鐏 𨱔
鐒 铹
鐓 镦
鐔 镡
鐩 𬭼
鐯 䦃
鐽 𫟼
鐿 镱
鑌 镔
鑔 镲
鑕 锧
鑪 𬬻
鑱 镵
鑹 镩
鑾 銮
钂 镋
閆 闫
閌 闶
閎 闳
閒 闲
閒 间
閤 合
閩 闽
閫 阃
閬 阆
閲 阅
閶 阊
閼 阏
閽 阍
閿 阌
闃 阒
闆 板
闉 𬮱
闋 阕
闍 阇
闐 阗
闑 𫔶
闒 阘
闓 闿
闞 阚
闥 闼
阨 呃
陘 陉
隉 陧
隑 𬮿
隤 𬯎
隮 𬯀
隷 隶
霽 霁
靆 叇
靉 叆
鞀 鼗
鞝 绱
鞦 秋
鞽 鞒
韆 千
韉 鞯
韍 韨
韞 韫
頇 顸
須 须
頍 𫠆
頏 颃
頔 𬱖
頠 𬱟
頫 𫖯
頲 颋
頵 𫖳
頽 颓
顒 颙
顓 颛
顔 颜
顖 囟
顗 𫖮
顙 颡
顢 颟
顥 颢
顬 颥
颭 飐
颮 飑
颱 台
颳 刮
颸 飔
颺 飏
飀 飗
飫 饫
飮 饮
飿 饳
餄 饸
餎 饹
餏 饻
餗 𫗧
餚 肴
餜 馃
餧 喂
餱 糇
餳 饧
餵 喂
餶 馉
餷 馇
餼 饩
饁 馌
饉 馑
饊 馓
饌 馔
饑 饥
饘 𫗴
饢 馕
馹 驲
馼 𫘜
駃 𫘝
駉 𬳶
駓 𬳵
駔 驵
駘 骀
駡 骂
駢 骈
駪 𬳽
駰 骃
駸 骎
駼 𬳿
騄 𫘧
騊 𫘦
騍 骒
騑 𬴂
騞 𬴃
騠 𫘨
騤 骙
騫 骞
騭 骘
騱 𫘬
騵 𫘪
騶 驺
驂 骖
驃 骠
驄 骢
驊 骅
驌 骕
驎 𬴊
驏 骣
驤 骧
驦 骦
驫 骉
骾 鲠
髮 发
鬆 松
鬍 胡
鬹 鬶
魎 魉
魛 鱽
魝 𬶀
魢 鱾
魴 鲂
鮀 𬶍
鮁 鲅
鮆 𫚖
鮈 𬶋
鮊 鲌
鮋 鲉
鮍 鲏
鮐 鲐
鮒 鲋
鮓 鲊
鮚 鲒
鮜 鲘
鮝 鲞
鮞 鲕
鮟 𩽾
鮠 𬶏
鮡 𬶐
鮣 䲟
鮦 鲖
鮶 鲪
鮸 𩾃
鮺 鲝
鯀 鲧
鯇 鲩
鯒 鲬
鯗 鲞
鯝 鲴
鯢 鲵
鯫 鲰
鯴 鲺
鯻 𬶟
鯿 鳊
鰁 鳈
鰂 鲗
鰃 鳂
鰆 䲠
鰊 𬶠
鰏 鲾
鰐 鳄
鰕 虾
鰛 鳁
鰜 鳒
鰟 鳑
鰤 𫚕
鰧 䲢
鰮 鳁
鰱 鲢
鰳 鳓
鰵 鳘
鰶 𬶭
鰷 鲦
鰼 鳛
鰾 鳔
鱀 𬶨
鱂 鳉
鱅 鳙
鱇 𩾌
鱖 鳜
鱚 𬶮
鱝 鲼
鱟 鲎
鱣 鳣
鱤 鳡
鱨 鲿
鱭 鲚
鱯 鳠
鱲 𫚭
鳬 凫
鳲 鸤
鳾 䴓
鴄 裒
鴒 鸰
鴝 鸲
鴞 鸮
鴟 鸱
鴰 鸹
鴷 䴕
鵁 䴔
鵂 鸺
鵃 鸼
鵏 𬷕
鵐 鹀
鵒 鹆
鵓 鹁
鵟 𫛭
鵮 鹐
鵯 鹎
鵾 鹍
鶄 䴖
鶊 鹒
鶖 鹙
鶚 鹗
鶠 𬸘
鶡 鹖
鶥 鹛
鶪 䴗
鶬 鸧
鶱 𬸣
鶲 鹟
鶹 鹠
鶺 鹡
鶻 鹘
鶼 鹣
鷀 鹚
鷁 鹢
鷄 鸡
鷈 䴘
鷉 䴘
鷊 鹝
鷙 鸷
鷚 鹨
鷟 𬸦
鷦 鹪
鷫 鹔
鷭 𬸪
鷯 鹩
鷰 燕
鷳 鹇
鸇 鹯
鸊 䴙
鸌 鹱
鸏 鹲
鸑 𬸚
鸘 鹴
鹹 咸
麯 曲
麴 麹
麵 面
黌 黉
黒 黑
黲 黪
黴 霉
黶 黡
黽 黾
黿 鼋
鼉 鼍
鼕 冬
齎 赍
齔 龀
齕 龁
齗 龂
齘 𬹼
齠 龆
齣 出
齮 𬺈
齯 𫠜
齼 𬺓
龑 䶮
龻 𰁜
𠦜 卌
𠮟 叱
𡉟 壮
𡑍 𫭼
𡠌 媲
𢊍 厨
𢖽 志
𣈶 暅
𣦶 歹
𤇾 𫇦
𤎱 纂
𤕭 将
