shuo1ming2 说明 "to explain; to illustrate; to indicate; to show; to prove; explanation; directions; caption" "蠢货 深夜 嫣然 说明 砚台" 58
xiao3shuo1 小说 "novel; fiction" "荣誉 偷窃 慷慨 小说 盆地" 59
ma2 吗 "(coll.) what?" "歆 苠 棤 吗 榉" 60
ren4wei2 认为 "to believe; to think; to consider; to feel" "狂妄 面包 氛围 认为 发掘" 61
bu4xiang3 不想 unexpectedly "音响 兔子 期末 不想 漏水" 62
si1xiang3 思想 "thought; thinking; idea; ideology" "晦暗 催眠 羁押 思想 挑选" 63
xiang3dao4 想到 "to think of; to call to mind; to anticipate" "非常 撤退 九十 想到 英镑" 64
ke3neng2 可能 "might (happen); possible; probable; possibility; probability; maybe; perhaps" "乘坐 彼岸 飞鸟 可能 酷暑" 65
neng2gou4 能够 "to be capable of; to be able to; can" "十堰 钓竿 携带 能够 募集" 66
wan3shang5 晚上 "evening; night; in the evening" "成功 趋势 嗔怪 晚上 骄人" 67
shen1shang5 身上 "on the body; at hand; among" "斜睨 器皿 电话 身上 泰国" 68
yi3shang4 以上 "that level or higher; that amount or more; the above-mentioned; (used to indicate that one has completed one's remarks) that is all." "贪婪 哗啦 青稞 以上 奥运" 69
guo4qu5 过去 "(verb suffix)" "废墟 学员 怠慢 过去 鬼子" 70
hui2qu5 回去 "to return; to go back" "𬬸 贬义 怜悯 回去 账户" 71
qu4nian2 去年 "last year" "机构 嫂子 娜娜 去年 罕见" 72
bao4dao4 报道 "to report (news); report" "混蛋 音乐 严重 报道 面颊" 73
shuo1dao5 说道 "to discuss; reason (behind sth)" "授予 丘陵 元宵 说道 挣扎" 74
nan2dao4 难道 "don't tell me ...; could it be that...?" "咋舌 航空 昏厥 难道 吱声" 75
ta1men5 她们 "they; them (for females)" "信贷 元帅 揣测 她们 屠夫" 76
hen3 很 "(adverb of degree); quite; very; awfully" "扽 祎 苷 很 塝" 77
kan4lai5 看来 "apparently; it seems that" "噤声 害臊 蜜蜂 看来 男子" 78
cha2kan4 查看 "to look over; to examine; to check up; to ferret out" "剔除 至今 媳妇 查看 均可" 79
ke3yi3 可以 "can; may; possible; able to; not bad; pretty good" "疏忽 葬礼 广告 可以 水稻" 80
ke3shi4 可是 "but; however; (used for emphasis) indeed" "颁发 碰到 澄澈 可是 耀眼" 81
bu4zhi1 不知 "not to know; unaware; unknowingly; fig. not to admit (defeat, hardships, tiredness etc)" "脊背 师父 受挫 不知 孤单" 82
zhi1shi5 知识 "knowledge; intellectual" "屡次 忏悔 枷锁 知识 瓷器" 83
tong1zhi1 通知 "to notify; to inform; notice; notification" "听懂 十二 回馈 通知 蹲点" 84
jue2de5 觉得 "to think that ...; to feel that ...; to feel (uncomfortable etc)" "害怕 面临 十二 觉得 枕巾" 85
ji4de5 记得 "to remember" "奋斗 渴求 唯有 记得 拷问" 86
bu4guo4 不过 "only; merely; no more than; but; however; anyway (to get back to a previous topic); cannot be more (after adjectival)" "淄博 区域 在座 不过 女佣" 87
tong1guo4 通过 "to pass through; to get through; to adopt (a resolution); to pass (legislation); to pass (a test); by means of; through; via" "衔接 笤帚 择偶 通过 茅草" 88
jiu3ba1 酒吧 "bar; pub; saloon" "步履 剥夺 寻觅 酒吧 等待" 89
ba1da5 吧嗒 "to smack one's lips; to pull (on a pipe)" "打鼾 侃侃 甲寅 吧嗒 供应" 90
ba1ji5 吧唧 "to smack one's lips" "信封 一起 锐利 吧唧 科隆" 91
huan2gei3 还给 "to return sth to sb" "庚辰 搂住 压榨 还给 杭州" 92
dui4yu2 对于 "regarding; as far as (sth) is concerned; with regard to" "发疯 婚姻 雅芳 对于 蕴涵" 93
mian4dui4 面对 "to face; to confront" "阅览 吹捧 克服 面对 晦暗" 94
dui4fang1 对方 "the other person; the other side; the other party" "笨拙 渐渐 苗圃 对方 韵味" 95
zhe4li3 这里 here "撑腰 农村 泡泡 这里 报刊" 96
xin1li5 心里 "chest; heart; mind" "履历 骰子 浓郁 心里 尤物" 97
jia1li3 家里 home "凶狠 剪刀 垂下 家里 练习" 98
suo3yi3 所以 "therefore; as a result; so; the reason why" "牛虻 墓地 淡漠 所以 应届" 99
yi3hou4 以后 "after; later; afterwards; following; later on; in the future" "记得 汲取 京剧 以后 田野" 100
quan2dou1 全都 "all; without exception" "段落 蟾蜍 沙滩 全都 解馋" 101
shou3du1 首都 "capital (city)" "食盐 在座 嗅觉 首都 山峦" 102
shi4qing5 事情 "affair; matter; thing; business" "朴素 查询 瓦房 事情 簇拥" 103
gu4shi5 故事 "narrative; story; tale" "县城 戴上 赞颂 故事 微微" 104
shi4jian4 事件 "event; happening; incident" "猪肉 冰糖 姑姑 事件 筋骨" 105
hai2zi5 孩子 child "铜钱 𬘬 禀报 孩子 执法" 106
er2zi5 儿子 son "惊愕 演唱 昆虫 儿子 法郎" 107
yang4zi5 样子 "appearance; manner; pattern; model" "宏观 作孽 贬义 样子 豆浆" 108
xue2sheng5 学生 "student; schoolchild" "成功 衣襟 归纳 学生 劈开" 109
sheng1huo2 生活 "to live; life; livelihood" "现场 填写 副本 生活 裤裆" 110
fa1sheng1 发生 "to happen; to occur; to take place; to break out" "迁移 娴熟 夹缝 发生 赔钱" 111
shi2hou5 时候 "time; length of time; moment; period" "别人 白酒 字母 时候 瑞典" 112
shi2jian1 时间 "time; period" "惩罚 说道 师父 时间 惠普" 113
dang1shi2 当时 "then; at that time; while" "招募 匆匆 小鸟 当时 摘要" 114
na4yang4 那样 "that kind; that sort" "干活 中午 牙龈 那样 窍门" 115
ye3xu3 也许 "perhaps; maybe" "瑜珈 抓贼 喂养 也许 安娜" 116
zai4ye3 再也 "(not) any more" "痴情 匍匐 羽翼 再也 滑雪" 117
ye3hao3 也好 "that's fine; may as well; (reduplicated) regardless of whether ... or ..." "灯塔 俯身 动摇 也好 约束" 118
he2ping2 和平 "peace; peaceful" "咬牙 厌倦 导弹 和平 教材" 119
he2xie2 和谐 "harmonious; harmony; (euphemism) to censor" "疙瘩 汕头 舒适 和谐 感情" 120
wen1he2 温和 "mild; gentle; moderate" "火车 飞溅 飞船 温和 江南" 121
xia4lai5 下来 "to come down; (completed action marker); (after verb of motion, indicates motion down and towards us, also fig.); (indicates continuation from the past towards us); to be harvested (of crops); to be over (of a period of time); to go among the masses (said of leaders)" "肿胀 灶台 青岛 下来 地址" 122
xia4wu3 下午 "afternoon; p.m." "回眸 毯子 呼啸 下午 热情" 123
liu2xia4 留下 "to leave behind; to stay behind; to remain; to keep; not to let (sb) go" "娶妻 蓬莱 巨匠 留下 傲慢" 124
zhen1zheng4 真正 "genuine; real; true; really; indeed" "唾弃 催生 铭文 真正 中央" 125
ren4zhen1 认真 "conscientious; earnest; serious; to take seriously; to take to heart" "头疼 每次 不胜 认真 顾忌" 126
