爱 ai4
忘记 wang4ji4
忘 wang4
问 wen4
我们 wo3men5
我 wo3
五 wu3
午饭 wu3fan4
西 xi1
西边 xi1bian5
洗 xi3
洗手间 xi3shou3jian1
喜欢 xi3huan5
下 xia4
下班 xia4ban1
下边 xia4bian5
下车 xia4che1
下次 xia4ci4
下课 xia4ke4
下午 xia4wu3
下雨 xia4yu3
先 xian1
先生 xian1sheng5
想 xiang3
现在 xian4zai4
小 xiao3
小孩儿 xiao3hai2
小姐 xiao3jie3
小时 xiao3shi2
小朋友 xiao3peng2you3
小学 xiao3xue2
小学生 xiao3xue2sheng5
笑 xiao4
写 xie3
谢谢 xie4xie5
新 xin1
新年 xin1nian2
星期 xing1qi1
星期日 xing1qi1ri4
星期天 xing1qi1tian1
行 xing2
休息 xiu1xi5
学生 xue2sheng5
学 xue2
学习 xue2xi2
学校 xue2xiao4
学院 xue2yuan4
要 yao4
爷爷 ye2ye5
页 ye4
衣服 yi1fu5
也 ye3
医生 yi1sheng1
医院 yi1yuan4
一 yi1
一会儿 yi1hui4
一块儿 yi1kuai4
一下儿 yi1xia4
一半 yi1ban4
一边 yi1bian1
一点儿 yi1dian3
一起 yi1qi3
一些 yi1xie1
一样 yi1yang4
有的 you3de5
有 you3
有名 you3ming2
用 yong4
有时候 you3shi2hou5
有些 you3xie1
有用 you3yong4
右 you4
右边 you4bian5
雨 yu3
元 yuan2
远 yuan3
月 yue4
再 zai4
再见 zai4jian4
在 zai4
在家 zai4jia1
早 zao3
早饭 zao3fan4
早上 zao3shang5
怎么 zen3me5
站 zhan4
找 zhao3
找到 zhao3dao4
这边 zhe4bian1
这 zhe4
这里 zhe4li3
这儿 er4
这些 zhe4xie1
着 zhe
真 zhen1
真的 zhen1de5
正 zheng4
正在 zheng4zai4
知道 zhi1dao5
知识 zhi1shi5
中国 zhong1guo2
中 zhong1
中间 zhong1jian1
中文 zhong1wen2
中午 zhong1wu3
中学 zhong1xue2
中学生 zhong1xue2sheng1
重 zhong4
重要 zhong4yao4
住 zhu4
准备 zhun3bei4
桌子 zhuo1zi5
字 zi4
子 zi
走 zou3
最 zui4
走路 zou3lu4
最好 zui4hao3
最后 zui4hou4
昨天 zuo2tian1
左边 zuo3bian5
左 zuo3
坐 zuo4
坐下 zuo4xia4
做 zuo4
啊 a
爱情 ai4qing2
安静 an1jing4
安全 an1quan2
爱人 ai4ren5
班长 ban1zhang3
办 ban4
办法 ban4fa3
办公室 ban4gong1shi4
白色 bai2se4
帮助 bang1zhu4
报名 bao4ming2
饱 bao3
半夜 ban4ye4
报纸 bao4zhi3
北方 bei3fang1
比如说 bi3ru2shuo1
比如 bi3ru2
笔记 bi3ji4
笔 bi3
背 bei4
笔记本 bi3ji4ben3
边 bian1
变 bian4
必须 bi4xu1
遍 bian4
变成 bian4cheng2
不错 bu4cuo4
不够 bu4gou4
不但 bu4dan4
不过 bu4guo4
不太 bu4tai4
表 biao3
不好意思 bu4hao3yi4si5
不满 bu4man3
不要 bu4yao4
不如 bu4ru2
不久 bu4jiu3
不少 bu4shao3
不同 bu4tong2
不行 bu4xing2
不一定 bu4yi1ding4
不一会儿 bu4yi1hui3
部分 bu4fen5
菜单 cai4dan1
参观 can1guan1
才 cai2
参加 can1jia1
草地 cao3di4
层 ceng2
草 cao3
差不多 cha4bu5duo1
长 zhang3
查 cha2
常见 chang2jian4
常用 chang2yong4
场 chang3
超过 chao1guo4
超市 chao1shi4
车辆 che1liang4
成绩 cheng2ji4
称 cheng1
重复 chong2fu4
重新 chong2xin1
出发 chu1fa1
成为 cheng2wei2
成 cheng2
出国 chu1guo2
出口 chu1kou3
出门 chu1men2
出生 chu1sheng1
出现 chu1xian4
出院 chu1yuan4
出租 chu1zu1
出租车 chu1zu1che1
吹 chui1
春节 chun1jie2
船 chuan2
春天 chun1tian1
词典 ci2dian3
词 ci2
词语 ci2yu3
答应 da1ying5
打工 da3gong1
从小 cong2xiao3
打算 da3suan5
打印 da3yin4
大部分 da4bu4fen5
大大 da4da5
大多数 da4duo1shu4
大家 da4jia1
大海 da3hai3
大量 da4liang4
大门 da4men2
大人 da4ren5
大声 da4sheng1
大衣 da4yi1
大自然 da4zi4ran2
带 dai4
带来 dai4lai2
单位 dan1wei4
大小 da4xiao3
但 dan4
但是 dan4shi4
蛋 dan4
当 dang1
当时 dang1shi2
到处 dao4chu4
道 dao4
道路 dao4lu4
倒 dao4
道理 dao4li5
得 de
得出 de2chu1
的话 dehua4
等 deng3
等到 deng3dao4
灯 deng1
低 di1
等于 deng3yu2
地铁 di4tie3
地球 di4qiu2
地铁站 di4tie3zhan4
店 dian4
点头 dian3tou2
东北 dong1bei3
东方 dong1fang1
冬天 dong1tian1
掉 diao4
东南 dong1nan2
懂得 dong3de5
