义 yi4 74 亿翌轶毅裛挹艺鹝 0 "意义 社会主义 主义 义务" "义 yi4 justice; righteousness; meaning; foster (father etc); adopted; artificial (tooth, limb etc); relationship; friendship
意义 yi4yi4 sense; meaning; significance; importance
社会主义 she4hui4zhu3yi4 socialism
主义 zhu3yi4 -ism; ideology
义务 yi4wu4 duty; obligation; volunteer (work etc)"
乂 yi4 74 邑螠役奕燚益驿埸 1  "乂 yi4 to regulate; to govern; to control; to mow"
亦 yi4 74 翌枍廙𬬩蜴意浥疫 2 亦即 "亦 yi4 also
亦即 yi4ji2 namely; that is"
亿 yi4 74 溢缢呓翼𬟁诣役懿 3 "亿万 万亿 十亿 千亿" "亿 yi4 100 million
亿万 yi4wan4 millions and millions
万亿 wan4yi4 trillion
十亿 shi2yi4 one billion; giga-
千亿 qian1yi4 myriads; hundred billion"
佚 yi4 74 谊燚裛溢鹢翌弈挹 4  "佚 yi4 lost; missing; forsaken; dissolute; (of a woman) beautiful; fault; offense; hermit"
佾 yi4 74 枍义廙弈𫄷翼译劓 5  "佾 yi4 row of dancers at sacrifices"
㑊 yi4 74 𬬩轶镱劓挹呓鹝翼 6  
刈 yi4 74 异潩艺亿译浥弋佚 7  "刈 yi4 mow"
劓 yi4 74 懿悒杙弋佾臆亦佚 8  "劓 yi4 cut off the nose"
勚 yi4 74 嫕邑翊义螠悒刈肄 9  "勚 yi4 (literary) toilsome; laborious; (of an edge etc) worn out; blunt"
呓 yi4 74 裔鹢轶屹佾亦薏易 10 "呓语 梦呓" "呓 yi4 to talk in one's sleep
呓语 yi4yu3 to talk in one's sleep; crazy talk
梦呓 meng4yi4 talking in one's sleep; delirious ravings; nonsense; sheer fantasy"
嗌 yi4 74 佾役抑弋懿𫄷呓峄 11  "嗌 yi4 (literary) the throat; (literary) (military) choke point"
埸 yi4 74 𬬩挹翼佚翳谊杙裔 12  "埸 yi4 border"
奕 yi4 74 杙刈义轶翊忆峄浥 13  "奕 yi4 abundant; graceful"
嫕 yi4 74 羿议螠杙殪溢毅异 14  "嫕 yi4 compliant; yielding; easygoing"
屹 yi4 74 悒瘗杙缢抑毅意癔 15 屹立 "屹 yi4 high and steep
屹立 yi4li4 to tower; to stand straight (of person's bearing)"
峄 yi4 74 埸癔益蜴杙裛嫕鹝 16  "峄 yi4 name of hills in shandong"
廙 yi4 74 亿潩殪怿呓薏杙艺 17  "廙 yi4 yurt; (literary) respectful; prudent"
