a1 啊阿锕吖
qing4 庆罄箐綮磬碃
qiong2 穷琼穹茕邛筇蛩䓖銎
qiu1 秋丘邱蚯楸鳅萩鞧鹙
qiu2 球求囚酋裘虬巯逑泅遒犰俅赇訄𨱇璆蝤鼽
qiu3 糗
qu1 区驱屈躯趋蛆岖祛蛐黢麹诎坥㭕𪨰胠袪䓛
qu2 渠瞿劬朐鸲蕖磲璩蘧氍癯衢鼩灈蠼豦
qu3 取曲娶龋竘
qu4 去趣觑阒
quan1 圈悛棬𨟠
quan2 全权拳泉痊诠蜷颧醛荃铨筌鬈佺辁婘瑔鳈
quan3 犬绻畎犭
quan4 劝券
que1 缺炔阙
que2 瘸
que4 确却雀鹊榷悫阕埆𬒈碏
qun1 逡囷
qun2 群裙
ran2 然燃髯蚺
ran3 染冉苒䎃
rang2 瓤禳穰儴蘘瀼
rang3 嚷壤攘
rang4 让
rao2 饶桡娆荛
rao3 扰
rao4 绕
re3 惹
re4 热
ren2 人仁壬
ren3 忍稔荏
ren4 认任刃饪韧纫妊仞葚轫纴衽讱
reng1 扔
reng2 仍
ri4 日驲
rong2 容荣融绒溶熔茸蓉蝾戎榕镕瑢狨嵘
rong3 冗
rou2 柔揉蹂糅鞣𫐓禸
rou4 肉
ru2 如儒蠕茹孺濡铷薷嚅襦嬬颥
ru3 辱乳汝
ru4 入褥缛蓐洳溽
ruan2 堧
ruan3 软阮媆瓀
rui2 蕤
rui3 蕊
rui4 瑞锐芮睿蚋汭枘
run4 润闰
ruo4 弱若偌蒻箬鄀婼爇叒
sa1 撒仨挲
sa3 洒潵靸
sa4 萨卅飒脎
sai1 腮噻鳃
sai4 赛
san1 三叁毵
san3 伞糁馓
san4 散
sang1 桑
sang3 嗓搡颡磉
sang4 丧
sao1 骚臊搔缫溞
sao3 扫嫂
sao4 瘙埽喿
se4 色塞瑟涩啬铯穑璱
sen1 森
seng1 僧
sha1 杀沙莎鲨纱刹煞砂铩痧裟
sha2 啥
sha3 傻
sha4 厦嗄霎歃唼
shai1 筛
shai4 晒
shan1 山杉衫珊删煽姗跚潸苫舢芟钐埏烻彡
shan3 闪陕晱
shan4 善擅扇讪赡疝膳缮鳝嬗汕骟剡鄯蟮𫮃墡嶦
shang1 伤商殇熵觞墒
shang3 赏晌垧
shang4 上尚绱
shao1 烧稍捎梢筲艄蛸
shao2 勺韶苕芍玿柖
shao3 少
shao4 绍哨邵潲劭睄
she1 奢赊猞畲𪨶
she2 蛇舌佘
she3 舍
she4 设射摄社涉赦慑麝厍歙滠
shei2 谁
shen1 身深申伸绅呻娠砷鲹莘诜屾侁珅𬳽甡燊兟
shen2 什神𬬹
shen3 审婶沈哂谂矧瞫
shen4 甚肾慎渗蜃瘆胂椹
sheng1 生声升牲甥笙昇陞
sheng2 绳
sheng3 省眚
sheng4 圣胜剩盛嵊
shi1 失师尸施诗湿狮虱蓍邿鸤䴓浉酾𫚕鲺
shi2 时实识十食石拾蚀莳鲥炻埘湜祏鼫饣
shi3 始使史屎驶矢豕
shi4 是事士试世室视式市示释适誓势饰氏逝侍嗜噬拭柿仕恃弑舐媞螫轼谥铈贳筮奭䏡栻𬤊襫
shou1 收
shou3 手首守艏扌
shou4 受授兽售瘦寿狩绶
shu1 书叔输舒殊疏梳淑蔬枢抒纾倏姝菽摅毹殳陎鄃疋
shu2 熟赎孰婌秫塾
shu3 属鼠署薯暑曙蜀黍
shu4 数术束树述恕墅竖漱庶沭戍腧澍𬬸隃尌
shua1 刷唰
shua3 耍
shuai1 摔衰
shuai3 甩
shuai4 率帅蟀
shuan1 栓拴闩
shuan4 涮腨
shuang1 双霜孀骦礵鹴
shuang3 爽
shui3 水氵
shui4 睡税帨
shun3 吮楯
shun4 顺瞬舜
shuo1 说
shuo4 硕烁朔铄槊妁搠蒴欶
si1 斯思司私丝撕厮嘶咝锶蛳厶鸶缌澌㟃虒楒飔凘纟
si3 死
si4 四似寺肆饲祀嗣巳驷兕汜姒泗耜笥涘
song1 松嵩忪凇菘淞娀崧
song3 悚耸怂竦㧐
song4 送讼宋颂诵
sou1 搜艘馊嗖飕廋溲螋蒐锼
sou3 叟擞薮嗾瞍
sou4 嗽
su1 苏稣酥窣甦
su2 俗
su4 诉速素宿塑肃溯粟夙愫嗉涑谡僳觫簌𫗧骕傃鹔蔌蹜
suan1 酸狻
suan4 算蒜
sui1 虽荽眭睢濉
sui2 随绥隋
sui3 髓
sui4 岁碎隧祟遂穗邃燧谇璲𫟦𬭼穟襚旞
sun1 孙荪狲飧
sun3 损笋隼榫
suo1 缩梭唆嗦娑蓑桫睃嗍羧
suo3 所索锁琐唢溹
ta1 他她它塌遢铊趿溻褟
ta3 塔獭鳎
ta4 踏蹋榻挞闼阘鞳
tai1 胎
tai2 台抬苔跆邰炱鲐薹
tai4 太态泰汰钛肽酞
tan1 滩贪摊瘫坍
tan2 谈坛谭痰潭檀昙郯倓惔榃锬磹
tan3 坦毯袒忐钽菼璮
tan4 探叹碳炭
tang1 汤蹚镗耥嘡羰铴
tang2 堂糖唐膛塘搪螳棠溏瑭樘鄌䣘螗
tang3 躺淌倘帑傥埫镋
tang4 趟烫
tao1 掏滔涛绦饕韬焘弢慆
tao2 逃淘桃萄陶啕洮梼𫘦绹鼗匋
tao3 讨
tao4 套
te4 特忑慝铽
teng1 熥
teng2 疼腾藤滕誊螣縢䲢
ti1 踢梯剔锑䏲䴘擿
ti2 题提蹄啼缇鹈醍鳀荑遆𫘨瑅㇀
ti3 体
ti4 替剃屉惕涕嚏逖倜绨悌裼趯
tian1 天添黇
tian2 甜田填恬畋湉阗沺盷
tian3 舔腆殄忝淟晪
tian4 掭瑱
tiao1 佻祧
tiao2 条迢笤蜩髫龆鲦
tiao3 挑窕嬥朓
tiao4 跳眺粜
tie1 贴萜
tie3 铁帖
tie4 餮
ting1 听厅汀烃𬘩桯
ting2 停庭廷亭婷霆蜓莛葶渟䗴筳
ting3 挺艇铤梃圢侹珽烶颋
tong1 通嗵
tong2 同童铜酮瞳桐僮佟彤茼砼潼仝峂𫍣哃烔鲖橦曈穜𦒍
tong3 统桶筒捅㛚
tong4 痛恸
tou1 偷
tou2 头投骰亠
tou4 透
tu1 突秃凸葖㻬
tu2 图徒途涂屠荼𬳿梌稌腯酴
tu3 土吐钍
tu4 兔菟堍
tuan1 湍猯煓
tuan2 团抟
tuan3 疃
tuan4 彖
tui1 推忒
tui2 颓𬯎魋
tui3 腿
tui4 退褪蜕煺
tun1 吞暾焞
tun2 臀豚饨屯鲀坉忳
tuo1 托脱拖圫侂
tuo2 驼陀坨鸵砣沱跎佗柁酡橐鼍𬶍
tuo3 妥椭庹
tuo4 唾拓柝萚箨
wa1 哇挖蛙洼娲畖窊穵
wa2 娃
wa3 瓦佤
wa4 袜腽
wai1 歪
wai3 崴
wai4 外
wan1 弯湾豌蜿剜塆婠
wan2 完玩丸顽烷纨芄
wan3 晚碗挽婉宛惋皖菀脘绾琬畹椀
wan4 万腕𬇕
wang1 汪尢尪
wang2 王亡
wang3 往网枉惘罔辋魍罒
wang4 望忘妄旺
wei1 威危微薇偎巍煨逶隈葳溦鳂
wei2 为维唯围违韦惟桅帷潍闱帏囗圩沩涠嵬𣲗峗洈琟𬶏
wei3 委尾伟伪萎猥纬苇痿鲔诿娓韪艉玮炜洧隗𫇭𬀩𬱟廆薳亹
wei4 位味喂未卫谓尉胃慰畏魏蔚猬渭霨硙煟碨螱鳚
wen1 温瘟榅辒蕰鳁
wen2 文闻纹蚊雯玟炆芠𫘜阌
wen3 吻稳紊刎
wen4 问汶璺
weng1 翁嗡滃𬭩鹟
weng3 蓊
weng4 瓮蕹
wo1 喔窝涡蜗莴挝倭踒
wo3 我
wo4 沃握卧龌渥斡幄肟偓硪
wu1 屋乌巫污呜诬钨邬圬洿
wu2 无唔吴吾毋芜梧蜈鼯浯铻郚峿珸鹀
wu3 舞五午武伍侮鹉捂妩忤仵迕庑怃牾𣲘旿珷
wu4 物务误坞雾悟勿晤兀戊骛鹜痦杌焐靰婺寤鋈屼芴
xi1 西希息吸惜析牺悉膝嘻稀兮锡熙夕熄晰嬉溪昔蜥犀烯蟋奚汐唏曦皙硒熹螅郗恓浠晞淅翕粞豨僖樨羲窸醯肸穸俙饻菥睎傒舾嶲暿熻谿釐巇酅爔鼷觿𠩺
xi2 习袭席媳觋隰檄𠅤𫘬嶍鳛
xi3 喜洗玺徙禧屣铣葸枲蓰憙𬭳𬶮
xi4 系戏细隙阋饩郤舄禊潟屃咥绤卌
xia1 瞎虾呷
xia2 侠峡辖狭瑕暇匣霞遐黠狎柙硖叚翈
xia4 下吓夏罅
xian1 先鲜仙纤掀暹氙锨酰祆籼跹忺莶𬸣孅韱
xian2 嫌闲贤衔弦咸痫舷涎娴挦鹇伭𫍯
xian3 险显藓冼蚬猃跣燹狝崄筅禒㬎
xian4 现线陷限献馅腺宪县羡霰岘苋𬀪𪾢缐臽
xiang1 相箱香乡厢镶襄湘芗缃骧葙𬙋瓖
xiang2 详翔祥庠
xiang3 想响享饷飨鲞
xiang4 像向象项橡巷珦
xiao1 消销宵逍硝萧箫嚣枭霄潇骁哓枵鸮绡魈虓猇翛蟏
xiao2 淆崤洨
xiao3 小晓筱𫍲皛
xiao4 笑校效肖哮孝啸涍敩滧
xie1 些歇蝎楔揳
xie2 鞋协胁邪携谐斜挟偕撷缬勰㙦
xie3 写
xie4 谢泄械卸蟹屑亵懈泻邂燮榭瀣绁渫薤獬廨澥躞偰𬹼榍薢𤫉
xin1 心新辛欣薪芯馨锌鑫忄忻昕炘歆䜣𫷷
xin3 伈
xin4 信衅囟舋
xing1 兴星猩腥惺骍瑆煋
xing2 行型形刑邢饧陉荥硎𫰛钘铏
xing3 醒擤
xing4 性幸姓杏悻荇婞
xiong1 兄凶胸匈汹芎讻
xiong2 雄熊
xiong4 诇夐
xiu1 休修羞咻馐庥貅髹脩鸺䗛
xiu3 朽滫
xiu4 秀袖嗅锈绣溴岫琇珛
xu1 需须虚嘘墟吁胥顼盱媭魆𬣙旴谞欻𦈡
xu2 徐
xu3 许栩诩珝冔糈醑
xu4 续序绪恤蓄酗叙婿絮旭煦洫勖溆昫㳚垿湑
xuan1 宣喧轩暄萱煊谖瑄咺𫓶愃儇禤𫍽嬛翾
xuan2 旋悬玄漩璇𫠊玹痃暶
xuan3 选癣烜晅
xuan4 炫眩铉绚渲楦泫昡琄衒碹
xue1 靴削薛
xue2 学穴噱茓踅峃
xue3 雪鳕
xue4 血谑
xun1 勋熏醺薰埙曛獯𫄸
xun2 寻巡询循旬鲟峋荀洵浔恂珣𬘓𬩽𬍤栒𬊈
xun4 训讯逊迅驯殉徇汛蕈巽噀
ya1 呀压押鸭丫鸦桠垭
ya2 牙涯崖芽蚜衙睚伢岈玡琊堐
ya3 雅哑
ya4 亚讶娅轧氩揠迓砑猰乚襾
yan1 烟淹燕焉腌阉湮胭恹崦阏鄢嫣墕漹
yan2 言严研颜延岩沿炎盐妍檐阎筵蜒芫闫𫄧虤讠
yan3 演眼掩衍奄鼹魇俨偃兖郾琰罨沇䶮弇厣棪渰扊𬸘𬙂蝘戭𪩘黡甗匽
yan4 验厌宴艳焰咽赝谚唁彦雁砚晏餍堰焱滟酽谳觃掞嬿
yang1 央殃鸯秧泱鞅咉
yang2 阳羊洋扬杨烊疡佯徉旸炀蛘玚飏钖垟
yang3 养仰氧痒
yang4 样恙漾怏羕
yao1 邀腰妖夭幺吆㙘
yao2 摇遥谣窑肴姚瑶尧鳐爻峣珧徭垚轺猺媱䍃
yao3 咬窈舀杳窅
yao4 要药钥耀鹞靿曜崾
ye1 耶椰噎掖倻
ye2 爷揶铘
ye3 也野冶
ye4 业夜液叶页腋曳靥晔谒邺烨馌
yi1 一医衣伊依咿漪壹铱噫揖祎猗黟洢繄衤
yi2 疑遗移仪宜姨夷胰咦怡颐痍贻饴彝沂匜圯诒迤眙嶷宧扅椸簃
yi3 以已椅蚁乙倚矣旖苡钇佁舣酏扆𫖮踦𬺈
yi4 意议易义异艺忆益亿役抑谊疫翼裔逸亦绎溢译蜴毅奕臆熠轶弈屹诣翌癔驿邑薏呓睪弋肄翳缢佚翊埸乂刈峄佾怿羿挹浥悒镒殪螠劓懿杙枍𬬩㑊勚裛廙瘗潩嫕鹝鹢燚𫄷𬟁镱⺈殹埶
yin1 因音阴姻茵荫殷铟喑氤洇堙愔骃𬘡𬤇𬮱歅溵禋垔
yin2 银淫吟垠龈寅狺訚鄞夤霪珢硍崟龂蟫嚚冘
yin3 引隐饮瘾尹蚓吲
yin4 印胤窨茚䲟慭
ying1 英婴鹰樱鹦莺罂瑛嘤缨膺撄璎䓨媖锳
ying2 赢迎营蝇盈荧萤萦莹嬴瀛茔楹蓥滢溁潆
ying3 影颖瘿郢颍
ying4 应硬映媵
yo1 哟唷
yong1 拥佣庸雍臃慵镛壅痈邕墉鳙饔鄘澭
yong2 喁颙
yong3 永勇泳涌咏恿俑蛹甬踊埇栐鲬
yong4 用㶲
you1 优幽忧悠呦攸麀耰
you2 由游油犹尤邮鱿铀疣莜蝣莸蚰猷繇浟𬨎鲉斿
you3 有友黝酉铕莠卣羑牖槱
you4 又右诱佑幼鼬柚祐釉宥蚴侑囿迶
yu1 於淤瘀迂纡
yu2 于鱼余愚愉娱渔瑜逾舆渝觎俞榆谀盂隅揄虞腴竽萸臾玙欤妤禺狳雩嵎嵛蝓邘舁畬艅窬褕髃
yu3 与语雨宇予羽屿圄禹龉伛俣圉庾瘐窳敔鄅㺄瑀
yu4 狱遇预育寓欲浴域誉郁玉愈豫御喻裕熨驭谕芋昱鹬妪蜮阈钰聿饫彧峪堉鹆煜滪毓燠鬻悆淯棫矞蓣潏遹燏
yuan1 冤渊鸳鸢箢眢涴蜎肙
yuan2 员原元园源援圆缘媛猿沅垣螈辕湲袁爰鼋塬橼妧嫄𫘪羱
yuan3 远
yuan4 愿院怨苑掾垸瑗夗
yue1 约曰彟
yue4 月越跃悦阅岳粤籥刖玥钺樾龠𫐄𬸚瀹爚
yun1 晕氲赟煴𫖳馧
yun2 云匀芸耘纭昀郧鋆沄妘涢筼
yun3 允陨殒狁
yun4 运孕韵酝蕴愠郓恽韫缊
za1 咂匝臜拶
za2 杂砸
za3 咋
zai1 灾栽哉甾
zai3 仔宰崽
zai4 在再载
zan1 簪糌
zan2 咱
zan3 攒昝趱寁
zan4 赞暂錾瓒酂
zang1 脏赃牂臧
zang3 驵
zang4 葬奘
zao1 糟遭
zao2 凿
zao3 早澡藻蚤枣璪
zao4 造躁噪皂燥灶唣慥簉𥖨
ze2 责择则泽啧迮帻笮舴箦赜
ze4 仄昃
zei2 贼鲗
zen3 怎
zen4 谮
zeng1 增憎缯罾鄫矰䎖
zeng4 赠锃甑
zha1 扎渣楂吒揸挓奓哳齇
zha2 闸札铡劄
zha3 眨砟拃鲊鲝
zha4 炸诈栅榨乍蚱咤柞痄溠䃎霅
zhai1 摘斋
zhai2 宅
zhai3 窄
zhai4 债寨豸瘵
zhan1 詹粘沾毡瞻谵旃栴𫗴鹯鳣
zhan3 展崭斩盏辗飐搌
zhan4 战站占绽湛蘸栈偡
zhang1 张章蟑彰樟獐漳璋鄣嫜暲
zhang3 长掌涨仉
zhang4 丈帐障账仗杖胀瘴嶂幛
zhao1 招昭钊啁𬬿
zhao3 找爪沼
zhao4 照召罩兆肇赵诏笊棹旐𬶐曌
zhe1 遮蜇
zhe2 折哲辙蛰喆辄谪磔晢詟
zhe3 者褶啫锗赭
zhe4 这蔗鹧柘浙䗪
zhen1 真针珍侦贞斟帧甄箴砧榛臻祯胗桢蓁浈葴瑧禛
zhen3 诊枕疹缜轸畛昣袗稹鬒
zhen4 镇震阵振朕鸩赈圳纼揕
zheng1 争征睁蒸筝狰铮峥钲烝
zheng3 整拯
zheng4 正证政症挣郑怔诤
zhi1 知之支织汁芝蜘脂肢枝吱栀祗胝卮𦭜泜稙禔榰
zhi2 直职值执植侄殖跖踯埴摭絷
zhi3 只指止纸址趾旨酯咫徵祉芷沚枳扺轵黹
zhi4 至制治置志致质智窒挚秩稚掷帜滞痣蛭峙炙痔雉桎陟郅帙栉贽轾鸷骘彘踬觯忮庤晊梽畤铚𬃊跱锧滍疐
zhong1 中钟终忠衷盅螽柊舯锺
zhong3 种肿踵冢
zhong4 重众仲茽乑
zhou1 周州洲舟粥诌辀鸼婤赒
zhou2 轴妯碡
zhou3 肘帚
zhou4 咒宙皱骤昼绉胄纣㤘荮籀㑇酎
zhu1 猪珠朱诸蛛茱洙侏株诛铢邾槠潴橥
zhu2 逐烛竹竺躅瘃舳蠋
zhu3 主煮嘱瞩渚拄麈𬣞
zhu4 住助注祝著筑柱驻铸贮蛀伫炷苎杼翥箸纻柷砫疰㝉
zhua1 抓髽
zhuai4 拽
zhuan1 专砖䏝颛
zhuan3 转孨
zhuan4 赚撰啭篆馔瑑僎
zhuang1 装妆庄桩
zhuang4 状撞壮
zhui1 追椎锥骓隹
zhui4 坠赘缀惴缒
zhun1 谆肫窀衠
zhun3 准𬘯
zhuo1 桌捉拙倬棁涿䦃
zhuo2 卓琢镯灼啄酌浊茁擢斫浞诼濯汋叕䓬椓晫禚𬸦
zi1 资姿滋咨孜嗞鲻龇髭孖辎孳锱淄缁嵫趑赀鄑粢觜镃鼒
zi3 子紫姊滓籽梓秭訾耔虸笫
zi4 自字渍恣眦
zong1 踪宗棕综鬃倧腙鬷
zong3 总偬
zong4 纵粽疭
zou1 邹诹陬驺鄹鲰
zou3 走
zou4 奏揍
zu1 租菹
zu2 足族卒镞崒
zu3 组阻祖诅俎珇
zuan1 钻躜
zuan3 纂缵
zuan4 攥
zui3 嘴
zui4 最罪醉蕞槜
zun1 尊遵鳟樽嶟𨱔
zun3 撙僔噂
zuo1 嘬
zuo2 昨捽
zuo3 左佐
zuo4 做作坐座怍胙祚唑酢阼岞
