亻 ⿱丿丨
丷 ⿰丶㇒
刂 ⿰丨亅
尣 ⿱八儿
彑 ⿱⿰𠃋㇇一
忄 "⿰丿卜 or ⿻丨八"
扌 ⿻𬺰㇀
攵 ⿱𠂉乂
氵 ⿱⺀㇀
灬 ⿰丿⿲丶丶丶
爫 "⿱丿𭕄(GHTV) or ⿱丿⿲丿丶丶(JK)"
丬 ⿰冫丨
牜 ⿻𠂉⿻㇀丨
犭 ⿹⿻丿㇁丿
王 ⿱一土
礻
⺮ ⿰⿱𠂉丶⿱𠂉丶
罒 ⿴囗⿰丨丨
艹 "⿻十丨(GJ) or ⿻丨十(GJ) or ⿰⿻乀一𠂇(HT) or ⿰十十(K)"
衤
覀 ⿱一⿻口⿰丨丨
辶 "⿳丶𠃍乀(G) or ⿳⺀𠃍乀(JKV) or ⿳丶⿱㇇㇇乀(HT)"
飠 "⿱亽⿲𠄌𫜹丶(G) or ⿱亼⿲𠄌𫜹丶(H) or ⿳人丨⿲𠄌𫜹丶(J)"
