唰 shua1
耍 shua3
摔 shuai1
衰 shuai1
甩 shuai3
涮 shuan4
腨 shuan4
爽 shuang3
水 shui3
氵 shui3
吮 shun3
楯 shun3
说 shuo1
死 si3
嗽 sou4
俗 su2
狻 suan1
酸 suan1
算 suan4
蒜 suan4
髓 sui3
胎 tai1
烫 tang4
趟 tang4
讨 tao3
套 tao4
熥 teng1
体 ti3
掭 tian4
瑱 tian4
佻 tiao1
祧 tiao1
萜 tie1
贴 tie1
帖 tie3
铁 tie3
餮 tie4
嗵 tong1
通 tong1
恸 tong4
痛 tong4
偷 tou1
透 tou4
团 tuan2
抟 tuan2
疃 tuan3
彖 tuan4
忒 tui1
推 tui1
腿 tui3
娃 wa2
佤 wa3
瓦 wa3
腽 wa4
袜 wa4
歪 wai1
崴 wai3
外 wai4
亡 wang2
王 wang2
蓊 weng3
瓮 weng4
蕹 weng4
我 wo3
写 xie3
伈 xin3
擤 xing3
醒 xing3
熊 xiong2
雄 xiong2
夐 xiong4
诇 xiong4
朽 xiu3
滫 xiu3
徐 xu2
雪 xue3
鳕 xue3
血 xue4
谑 xue4
哑 ya3
雅 ya3
哟 yo1
唷 yo1
喁 yong2
颙 yong2
㶲 yong4
用 yong4
远 yuan3
杂 za2
砸 za2
咋 za3
簪 zan1
糌 zan1
咱 zan2
驵 zang3
奘 zang4
葬 zang4
糟 zao1
遭 zao1
凿 zao2
仄 ze4
昃 ze4
贼 zei2
鲗 zei2
怎 zen3
谮 zen4
摘 zhai1
斋 zhai1
宅 zhai2
窄 zhai3
蜇 zhe1
遮 zhe1
拯 zheng3
整 zheng3
帚 zhou3
肘 zhou3
抓 zhua1
髽 zhua1
拽 zhuai4
孨 zhuan3
转 zhuan3
准 zhun3
𬘯 zhun3
偬 zong3
总 zong3
走 zou3
奏 zou4
揍 zou4
租 zu1
菹 zu1
躜 zuan1
钻 zuan1
纂 zuan3
缵 zuan3
攥 zuan4
嘴 zui3
嘬 zuo1
捽 zuo2
昨 zuo2
佐 zuo3
左 zuo3
