弗 fu 拂氟茀怫绋
乍 zha 炸诈榨蚱砟拃柞痄鲊
句 ju 拘驹蒟泃𬶋
冬 dong 咚氡
尔 er 迩
刍 chu 雏
东 dong 冻栋鸫胨岽𬟽
包 bao 抱鲍胞饱刨孢雹苞龅枹
禾 he 和盉龢
戋 jian 贱溅践笺饯𬣡篯
奴 nu 努怒弩驽孥胬砮笯
召 zhao 照招沼昭诏𬬿
厉 li 励蛎砺
甲 jia 钾胛岬
今 jin 矜衿妗
屯 tun 饨鲀坉忳
允 yun 狁
户 hu 护沪戽昈
引 yin 蚓吲
厄 e 呃扼轭苊
无 wu 芜妩庑怃𣲘
艺 yi 呓
太 tai 态汰钛肽酞
历 li 雳沥呖枥苈疬粝坜𫵷
元 yuan 远院园沅垸鼋妧
反 fan 饭贩返畈
匀 yun 韵昀鋆
升 sheng 昇陞
丑 chou 杻侴
毛 mao 髦牦芼眊耄旄
布 bu 怖
切 qie 窃
卞 bian 汴抃苄忭
爪 zhao 笊
斗 dou 抖蚪钭
母 mu 姆拇𬭁𧿹
勾 gou 构购沟钩
由 you 油邮鼬柚铀釉蚰鲉
石 shi 炻祏鼫
糸 mi 縻
耳 er 饵珥洱铒咡
艮 gen 跟根哏茛
正 zheng 证整政症征怔钲
平 ping 评苹坪萍鲆枰泙玶蚲
只 zhi 职织帜咫枳𦭜轵
出 chu 础绌黜䢺
皮 pi 疲披铍陂鲏
弁 bian 𨚕昪
西 xi 牺硒恓粞醯舾
米 mi 迷咪谜眯麋醚脒洣敉醾
北 bei 背邶褙
孚 fu 浮俘孵蜉郛莩桴稃垺琈
此 ci 雌疵跐呲泚茈玼𫚖
回 hui 茴蛔洄
老 lao 佬姥铑栳荖
羊 yang 样洋氧痒烊佯徉蛘垟
百 bai 佰
圭 gui 桂鲑闺硅邽珪筀
吉 ji 髻佶姞
全 quan 痊诠醛荃铨筌佺辁
兆 zhao 旐𬶐
交 jiao 较胶狡郊跤绞饺佼铰皎鲛姣蛟茭峧恔䴔
次 ci 茨瓷佽
先 xian 宪酰冼跣筅
至 zhi 致侄窒蛭桎郅轾晊铚
多 duo 哆
夸 kua 垮跨胯挎侉姱
列 lie 烈裂咧冽趔洌峛䴕
朱 zhu 珠蛛茱洙侏株诛铢邾
有 you 宥铕侑囿迶
牟 mou 眸哞侔蛑
同 tong 筒铜酮桐茼𫍣哃烔鲖
共 gong 供恭拱龚珙䢼硔
衣 yi 依裔铱扆裛
夹 jia 颊荚浃铗郏蛱𬂩
尧 yao 峣
贞 zhen 侦帧祯桢浈
乔 qiao 桥荞侨鞒硚
会 hui 绘烩荟浍
齐 qi 脐蛴
农 nong 浓脓侬哝秾𬪩
亦 yi 奕弈㑊
臼 jiu 舅桕
免 mian 勉冕娩𩾃
争 zheng 睁筝狰铮峥诤
任 ren 荏
岂 qi 桤
朿 ci 刺莿
亥 hai 孩骸骇氦胲
朵 duo 躲剁跺垛哚
执 zhi 挚贽鸷絷
合 he 盒颌饸郃𬌗
买 mai 卖荬
幼 you 呦黝蚴
瓜 gua 胍坬
乎 hu 呼烀滹轷嫭虖
匝 za 砸咂
央 yang 殃鸯秧怏泱鞅咉
永 yong 泳咏栐
付 fu 府附符腐咐俯腑跗驸拊苻鲋
卡 ka 咔胩
龙 long 笼咙聋拢胧垄泷珑陇茏栊砻眬昽
宁 ning 柠拧泞狞咛苧聍
丝 si 咝鸶
玉 yu 钰
甘 gan 柑泔坩绀疳苷㽏
