yang2 阳
yun2 云
han3 喊
tong4 痛
ku3 苦
huai4 坏
yin2 银
nong2 农
kong1 空
ju3 举
ya4 亚
pu3 普
kun4 困
xian3 显
nian4 念
tang3 躺
wei2 唯
cai3 采
fang3 访
huo3 火
ya3 雅
xue4 血
guai4 怪
zheng1 争
yan1 烟
mei4 妹
juan3 卷
zhua1 抓
dang3 党
za2 杂
dao1 刀
ni2 尼
huang2 黄
zui3 嘴
yin4 印
pei2 陪
yang3 养
xun4 训
lian4 练
luo4 落
pi2 皮
an3 俺
you1 优
xiu4 秀
dui1 堆
ya1 压
liao2 聊
jia3 假
ma4 骂
po4 破
qu3 取
ao4 奥
gua4 挂
mo1 摸
chun1 春
ling2 龄
wei1 微
jun1 均
yi2 宜
duan3 短
xun2 寻
cang2 藏
ti4 替
chuang2 床
ding3 顶
dai1 呆
pan2 盘
yang1 央
quan1 圈
xuan1 宣
niao3 鸟
nai3 奶
cai1 猜
wo4 握
niu2 牛
ta3 塔
kuan3 款
mo2 麽
tui3 腿
qiao2 桥
zhao1 招
chuang4 创
zi3 仔
ou3 偶
huai2 怀
tu3 土
zhui1 追
zhu1 猪
ying4 映
hai4 害
hui1 恢
tie3 铁
tuan2 团
shang1 商
en1 恩
zai3 载
bo1 波
mao2 毛
song1 松
ye2 爷
gui3 鬼
bing1 冰
lang4 浪
deng1 灯
han4 汉
nuo4 诺
tou1 偷
chui1 吹
guang4 逛
shang3 赏
tuo1 托
cao3 草
zhuo1 桌
tang2 堂
fan2 烦
wei3 伟
sha3 傻
qin1 亲
tian2 田
hen4 恨
xie2 叶
wen3 稳
chen2 陈
miao3 秒
tang1 汤
xiong2 雄
lun2 轮
zhu2 逐
yun3 允
mo4 莫
qiang1 枪
duan1 端
shao1 烧
xing3 醒
luo2 罗
chou1 抽
zu1 租
tui4 退
che4 彻
wa3 瓦
shan4 善
cong1 聪
xiang2 详
pa2 爬
pang4 胖
di2 敌
liang2 良
zhuan4 赚
zeng4 综
mi4 秘
bai4 败
qiang3 抢
yun4 运
teng2 疼
mi2 迷
da1 搭
shun4 顺
e4 恶
kong3 恐
sai1 塞
ai1 唉
ding1 丁
wen1 温
nuan3 暖
nai4 奈
po1 颇
mao4 贸
hu3 虎
wu1 屋
ku4 库
shu2 熟
zun1 尊
qiu1 秋
tiao1 挑
ca1 擦
su1 苏
hao2 毫
kuan1 宽
diu1 丢
ren3 忍
duo3 朵
pao4 泡
nao4 闹
que1 缺
fa2 乏
kuang2 狂
lüe4 略
sheng4 胜
bu3 补
cao1 操
han2 含
chuang1 窗
ya2 牙
niu3 纽
zao1 遭
yao1 邀
ou1 欧
lang2 狼
bang4 棒
zong1 宗
peng4 碰
sou1 搜
bi1 逼
quan4 劝
pan4 判
yao3 咬
pin2 频
hun4 混
yao2 摇
qiong2 穷
sun3 损
qiao3 巧
reng1 扔
hun2 魂
san4 散
tang4 趟
miao2 描
fen3 粉
chao3 炒
rou2 柔
chuan4 串
hu2 湖
zhe2 哲
gou1 沟
bi2 鼻
meng2 蒙
qiao1 敲
zan4 暂
rui4 瑞
cha1 插
hui3 悔
pei4 配
hang2 杭
kou4 扣
e2 俄
lia3 俩
shan3 闪
tan4 叹
lei1 勒
zha1 扎
