涄 ping1
涢 yun2
涐 e2
浰 li4
浟 you2
浛 han2
浼 mei3
浲 feng2
涘 si4
悈 jie4
悢 liang4
𬒈 que4
宧 yi2
窅 yao3
窊 wa1
窎 diao4
扅 yi2
扆 yi3
袪 qu1
袗 zhen3
袯 bo2
祧 tiao1
隺 he4
堲 ji2
疍 dan4
𨺙 ni4
烝 zheng1
砮 nu3
㛚 tong3
哿 ge3
翀 chong1
翂 fen1
剟 duo1
𬳿 tu2
𫄨 chi1
绤 xi4
𬘫 huan2
䂮 lüe4
琎 jin4
珸 wu2
珵 cheng2
琄 xuan4
琈 fu2
琀 han2
珺 jun4
掭 tian4
堎 leng4
堐 ya2
掎 ji3
埫 tang3
堌 gu4
晢 zhe2
𫮃 shan4
掞 yan4
埪 kong1
壸 kun3
㙍 duo1
聍 ning2
菝 ba2
萚 tuo4
菥 xi1
莿 ci4
䓫 qi2
勚 yi4
䓬 zhuo2
萆 bi4
菂 di4
菍 nie4
菼 tan3
萣 ding4
䓨 ying1
菉 lu4
䓛 qu1
梼 tao2
梽 zhi4
桯 ting1
梣 chen2
梌 tu2
桹 lang2
敔 yu3
厣 yan3
硔 gong3
鿎 da2
硙 wei4
硚 qiao2
硊 hui4
硍 yin2
勔 mian3
䴕 lie4
龁 he2
逴 chuo1
唪 feng3
翈 xia2
㫰 lang4
畤 zhi4
𬱖 di2
趼 jian3
跂 qi2
蚲 ping2
𬟽 dong1
蚺 ran2
啴 chan3
䎃 ran3
崧 song1
崟 yin2
崞 guo1
崒 zu2
崌 ju1
崡 han2
铏 xing2
𫓯 ji1
𫟹 hong2
𫟼 da2
铖 cheng2
铘 ye2
铚 zhi4
铞 diao4
铴 tang1
牻 mang2
牿 gu4
稆 lü3
笱 gou3
笯 nu2
偰 xie4
偡 zhan4
鸺 xiu1
偭 mian3
偲 cai1
偁 cheng1
㿠 huang4
鄅 yu3
偓 wo4
徛 ji4
衒 xuan4
舳 zhu2
舲 ling2
鸼 zhou1
悆 yu4
鄃 shu1
瓻 chi1
䝙 chu1
脶 luo2
脞 cuo3
脟 lie4
䏲 ti1
鱾 ji3
猇 xiao1
猊 ni2
猄 jing1
觖 jue2
𠅤 xi2
庱 cheng3
庼 qing3
庳 bi4
痓 chi4
䴔 jiao1
竫 jing4
堃 kun1
阌 wen2
羝 di1
羕 yang4
焆 juan1
烺 lang3
焌 jun4
淏 hao4
𬇹 guo2
淟 tian3
淜 peng2
淴 hu1
淯 yu4
湴 ban4
涴 yuan1
𬍡 dang4
㥄 ling2
惛 hun1
惔 tan2
悰 cong2
惙 chuo4
寁 zan3
逭 huan4
𬤇 yin1
𫍯 xian2
袼 ge1
裈 kun1
祲 jin4
𬤊 shi4
𫍲 xiao3
谞 xu1
艴 bo2
弸 peng2
弶 jiang4
𬯎 tui2
隃 shu4
婞 xing4
娵 ju1
婼 ruo4
媖 ying1
婳 hua4
婍 qi3
婤 zhou1
婘 quan2
婠 wan1
𬘬 qian4
𬘭 chen1
𬴂 fei1
𫘦 tao2
绹 tao2
𫟅 liang2
𬘯 zhun3
骕 su4
𫘧 lu4
絜 jie2
珷 wu3
琲 bei4
琡 chu4
琟 wei2
琔 dian4
琭 lu4
堾 chun1
堼 heng4
揕 zhen4
㙘 yao1
堧 ruan2
堨 e4
塅 duan4
堠 hou4
絷 zhi2
𪣻 lou2
𡎚 pian3
葜 qia1
惎 ji4
葙 xiang1
靬 qian2
葴 zhen1
蒇 chan3
蒈 kai3
鄚 mao4
蒉 kui4
蓇 gu1
蒐 sou1
葰 jun4
葎 lü4
