su4su4 簌簌
lie4qie5 趔趄
tu3pi1 土坯
fu1hua4 孵化
geng3zhi2 耿直
yan3jian3 眼睑
jia1mian3 加冕
wei4mian3 卫冕
fen4men4 愤懑
cuo1tuo2 蹉跎
song4ti3 宋体
shao2guan1 韶关
wei2fang1 潍坊
zha4meng3 蚱蜢
zhen3mi4 缜密
bo1bo5 饽饽
zhu4chong2 蛀虫
shen1an1 深谙
yin1mie4 湮灭
fa3ma3 砝码
bu4chi4 不啻
di2xi4 嫡系
chan3mei4 谄媚
bu3yu4 哺育
bu3ru3 哺乳
han2bao1 含苞
ji4dong4 悸动
xin1ji4 心悸
ya1kou3 垭口
a1hong1 阿訇
zhe4gu1 鹧鸪
gen3 艮
xi1yi4 蜥蜴
zhe2fu2 蛰伏
gen4 亘
gen4gu3 亘古
pan2tao2 蟠桃
jie2wen4 诘问
jing1qi2 旌旗
yi4xiang3 臆想
pan2ju4 盘踞
mou2li4 牟利
feng1yu2 丰腴
tan2he2 弹劾
su4yuan4 夙愿
chuang1ling2 窗棂
hui1xia4 麾下
niu2du2 牛犊
ji1jiao3 犄角
tan2hua1 昙花
zi1bo2 淄博
yan4pin3 赝品
ling2jiu4 灵柩
zhi3chi3 咫尺
gua4zi5 褂子
huan4san4 涣散
chen3 碜
han2chen5 寒碜
pang1 滂
pang1tuo2 滂沱
qiao2mai4 荞麦
lao3yu4 老妪
liao2yuan2 燎原
qiang3bao3 襁褓
tan3lu4 袒露
pian1tan3 偏袒
tan3hu4 袒护
wa3li4 瓦砾
bian1chui2 边陲
dou3sou3 抖擞
shui3beng4 水泵
lu2zhou1 泸州
kao4lao2 犒劳
jue2qu3 攫取
feng2ren4 缝纫
yun3shi2 陨石
qing1tiao1 轻佻
ma3jiu4 马厩
chen2mian3 沉湎
bei1tong4 悲恸
chu1bin4 出殡
bin4zang4 殡葬
mu4xu5 苜蓿
zhen4zai1 赈灾
tun2ji1 囤积
jian4xing2 饯行
mi4jian4 蜜饯
an1chun2 鹌鹑
wo4xuan2 斡旋
xun4qing2 殉情
zheng1liu2 蒸馏
gou1lou2 佝偻
yi3ni3 旖旎
hui2xiang1 茴香
ying2lian2 楹联
wu2yang4 无恙
jian4zi5 毽子
dong4he4 恫吓
chan2ruo4 孱弱
lin2yi2 临沂
you2yi4 游弋
jian3du2 简牍
tui1sang3 推搡
gu1lu4 轱辘
chong4 铳
li4ji5 痢疾
qing1ke1 青稞
dong4ti3 胴体
gui1yu2 鲑鱼
ming2mu4 瞑目
tai4zhu1 泰铢
zhi4gu4 桎梏
ba1shu3 巴蜀
shu3guo2 蜀国
men2mei2 门楣
xie2ni4 斜睨
huang2li2 黄鹂
ai2ai2 皑皑
kai3jia3 铠甲
yi2shuang1 遗孀
jin1guo2 巾帼
lou4kong1 镂空
li2huan4 罹患
li2nan4 罹难
ou1ge1 讴歌
qun1 逡
qun1xun2 逡巡
guan4xi3 盥洗
xin1hai4 辛亥
rang2 瓤
fu2zhi3 福祉
wei1yi2 逶迤
kang4li4 伉俪
chen1zhou1 郴州
zheng1rong2 峥嵘
nüe4ji2 疟疾
dong4zu2 侗族
qi2pa1 奇葩
zhi1zi5 栀子
shao2yao4 芍药
xia4e4 下颚
li4lin2 莅临
qian3quan3 缱绻
lin2xuan3 遴选
xun2zi3 荀子
da2da2 鞑靼
xian2chuang1 舷窗
chuan2xian2 船舷
zhong1kui2 钟馗
bu4yu2 不渝
xue3yu2 鳕鱼
gong1qing1 公卿
cha1cha5 喳喳
fu4ma3 驸马
niu2meng2 牛虻
fang2xun4 防汛
lu2yu2 鲈鱼
lin2xun2 嶙峋
gou4bing4 诟病
cong1long2 葱茏
zan1ba1 糌粑
shi4kuai4 市侩
chao2xi1 潮汐
shu2ren3 熟稔
chao2jin4 朝觐
jia3yin2 甲寅
sa4sa4 飒飒
xun4gu3 训诂
hu2zhou1 胡诌
tui1wei3 推诿
shen2kan1 神龛
kai4 忾
fen1yun2 纷纭
fu4gao4 讣告
xia4he2 下颌
mai4jie1 麦秸
rui2 蕤
huang2dan3 黄疸
jue2shuo4 矍铄
pi1lou4 纰漏
tie3xian1 铁锨
he2ze2 菏泽
ao2zhan4 鏖战
hong4 讧
nei4hong4 内讧
hui2chong2 蛔虫
gan4zhou1 赣州
hu2lun2 囫囵
bin4qi4 摈弃
po3 叵
zhi1ya1 枝桠
cheng1mu4 瞠目
min2jiang1 岷江
yi4ye4 肄业
zhua1jiu1 抓阄
zhun1 谆
kao1 尻
kuang3 夼
pou2 抔
liao3 钌
mang1 牤
hang4 沆
ou4 怄
qia2 拤
kuai3 㧟
pie3 苤
m2 呣
cu2 徂
fa4 珐
kei1 剋
chai4 虿
gen2 哏
mou1 哞
jiong1 扃
pian2 骈
chao4 耖
bu1 逋
mu2 毪
biao4 俵
nü4 衄
zou1 诹
dao2 捯
sao4 埽
ge3 舸
ken4 裉
pian3 谝
yong2 喁
weng3 蓊
lou1 䁖
teng1 熥
zen4 谮
zun3 撙
nou4 耨
pang3 耪
man1 颟
tuan3 疃
bo4 檗
hou1 齁
gang4 戆
nang4 齉
xin3 伈
den4 扽
xiong4 诇
zang3 驵
da5 垯
lü4 垏
long4 哢
huang4 㿠
cuo3 脞
ruan2 堧
tian4 瑱
bu2 醭
