"kilowatt (unit of electric power)" 千瓦
"tiles and bricks" 砖瓦
"good (virtuous); benevolent; well-disposed; good at sth; to improve or perfect" 善
"good and honest; kindhearted" 善良
"(of systems, facilities etc) comprehensive; well-developed; excellent; to refine; to improve" 完善
"to be good at; to be adept at" 善于
"quick at hearing; wise; clever; sharp-witted; intelligent; acute" 聪
"intelligent; clever; bright; smart; acute (of sight and hearing)" 聪明
"bright; witty; intelligent" 聪慧
"smart; intelligent" 聪颖
"detailed; comprehensive" 详
"details; particulars" 详情
"full details; full particulars" 端详
serene 安详
"to crawl; to climb; to get up or sit up" 爬
"to climb up" 爬上
"to climb a mountain; to mountaineer; hiking; mountaineering" 爬山
"to crawl; to creep" 爬行
"household dish, implement or furniture; domestic animal; (coll.) guy; chap; weapon" 家伙
"young man; young guy; lad; youngster" 小伙子
"partner; companion; comrade" 伙伴
"everybody; everyone; we all" 大伙
"fat; plump" 胖
"fat person; fatty" 胖子
"fat; obese" 肥胖
"to put on weight; to get fat" 发胖
"short and stout; dumpy; roly-poly" 矮胖
"to lose weight" 减肥
"to weaken; to diminish" 减弱
"enemy; to be a match for; to rival; to resist; to withstand" 敌
enemy 敌人
"unequalled; without rival; a paragon" 无敌
"hostile; enemy (factions); combative" 敌对
"enmity; hostility" 敌意
"goods; commodity; merchandise" 货物
"truck; van; freight wagon" 货车
"general merchandise" 百货
"pure; clean; unmixed" 纯净
"to purify" 净化
"peaceful; quiet; tranquil" 清净
"next door; neighbor" 隔壁
"to separate; to isolate" 隔离
"gap; interval; compartment; to divide; to separate; to leave a gap of (two weeks, three meters etc)" 间隔
"separated by (distance or time etc)" 相隔
"good; very; very much" 良
"good; favorable; well; fine" 良好
"bad; harmful; unhealthy" 不良
conscience 良心
"christmas; birthday of reigning emperor; confucius' birthday" 圣诞
"divine; hallow; holy; sacred" 神圣
"the confucian classics; (christianity, judaism) the holy scriptures" 圣经
"sage; the sage (i.e. confucius); (religion) saint" 圣人
"nanny; housekeeper" 保姆
"mom; mother (dialect)" 姆妈
"to commit a crime; crime; offense" 犯罪
"convict; prisoner; criminal" 犯人
"to infringe on; to encroach on; to violate; to assault" 侵犯
criminal 罪犯
"to earn; to make a profit" 赚
"to make a profit; to earn a packet" 赚取
"to display; to exhibit; to bring out implicit or innate qualities; to express (a thought or moral); to develop (an idea); to elaborate (on a theme)" 发挥
"to wave (one's hand)" 挥手
"to brandish; to wave sth" 挥舞
"(internet slang) the first reply or replier to a forum post" 沙发
desert 沙漠
"changsha prefecture-level city and capital of hunan province in south central china" 长沙
"beach; sandy shore" 沙滩
heddle 综
"variety (entertainment format)" 综艺
"to sum up; a roundup; a general narrative" 综述
"to take a broad view of sth" 综观
diploma 文凭
"relying on; on the basis of" 凭着
"proof; certificate; receipt; voucher" 凭证
summer 夏天
"old name for china; cathay" 华夏
summer 夏季
summertime 夏日
winter 冬天
winter 冬季
wintry 寒冬
"wax gourd (cucurbitaceae, benincasa hispida); white gourd; white hairy melon; chinese squash" 冬瓜
"to encourage" 鼓励
"heartening (news); to boost (morale)" 鼓舞
"to summon one's (courage, faith etc); to puff up (one's cheeks etc); to bulge; to swell out" 鼓起
"to reward; reward (as encouragement)" 奖励
"to encourage; to urge; motivation; incentive" 激励
"to encourage; encouragement" 励志
"to rush to; to hurry to" 奔赴
"to hurry; to rush" 赶赴
"to keep an appointment" 赴约
"to attend a banquet" 赴宴
"penglai, one of three fabled islands in eastern sea, abode of immortals; by extension, fairyland" 蓬莱
shelley 雪莱
"secret; secretary" 秘
"secret; private; confidential; clandestine" 秘密
secretary 秘书
"secret know-how; key (to longevity); secret (of happiness); recipe (for success)" 秘诀
"cipher; secret code; password; pin" 密码
"intimate; close" 亲密
"to keep sth confidential; to maintain secrecy" 保密
"mail; post; email" 邮件
"mailbox; post office box; email; email inbox" 邮箱
"post office" 邮局
"move; act; measure" 举措
"wording; way of expressing something; turn of phrase; diction" 措辞
"to raise (money)" 筹措
"to defeat; to damage; to lose (to an opponent); to fail; to wither" 败
"corruption; to corrupt; to rot; rotten" 腐败
"to defeat; to overpower; to beat; to be defeated" 打败
"to defeat; to beat" 击败
"to fight over; to rush; to scramble; to grab; to rob; to snatch" 抢
"to rob; looting" 抢劫
"to snatch (esp related to a robbery)" 抢走
"to rush (to do sth urgent); to try to be the first; to forestall" 抢先
"end of term" 期末
"end of the year" 年末
"judgment day (in christian eschatology); last day; end; final days; doomsday" 末日
"a big margin; substantially" 大幅
"width; extent; range; scope" 幅度
"horizontal scroll; banner; streamer" 横幅
"scene; spectacle; circumstances; situation" 情景
"tourist attraction; scenic spot" 景点
"to move; to transport; to use; to apply; fortune; luck; fate" 运
"to use; to put to use" 运用
"to move along one's course (of celestial bodies etc); (fig.) to function; to be in operation; (of a train service etc) to operate; to run; (of a computer) to run" 运行
"(it) hurts; sore; to love dearly" 疼
"to love dearly; to feel sorry for sb; to regret; to grudge; to be distressed" 心疼
headache 头疼
"to love dearly" 疼爱
"in keeping with; in accordance with; tallying with; in line with; to agree with; to accord with; to conform to; to correspond with; to manage; to handle" 符合
"character (computing)" 字符
"(music) note; phonetic component of a chinese character; phonetic symbol; phonogram" 音符
"to bewilder; crazy about; fan; enthusiast; lost; confused" 迷
"fan (ball sports)" 球迷
"fascinating; enchanting; charming; tempting" 迷人
"fan of a singer" 歌迷
"to puzzle; to confuse; to baffle" 迷惑
"to put up; to build (scaffolding); to hang (clothes on a pole); to connect; to join; to arrange in pairs; to match; to add; to throw in (resources); to take (boat, train)" 搭
"to pair up; to match; to arrange in pairs; to add sth into a group" 搭配
"to cooperate; partner" 搭档
"to build (esp. with simple materials); to knock together (a temporary shed); to rig up" 搭建
"to obey; to follow; to arrange; to make reasonable; along; favorable" 顺
"conveniently; in passing; without much extra effort" 顺便
"to follow; following; along" 顺着
"contradiction; conflicting views; contradictory" 矛盾
"spearhead; barb; an attack or criticism" 矛头
"pike; lance" 长矛
"support; backing" 后盾
"shield; pretext; excuse" 盾牌
"bangkok, capital of thailand" 曼谷
oman 阿曼
"amman, capital of jordan" 安曼
"schumann (name)" 舒曼
"to sign (one's name with a pen etc); to autograph; signature" 签名
"to agree to and sign (a treaty etc)" 签订
"to sign (one's name); signature" 签字
god 上帝
emperor 皇帝
"empire; imperial" 帝国
"regent; monarch" 帝王
"evil; fierce; vicious; ugly; coarse; to harm" 恶
"sinister; vicious; wicked; evil" 邪恶
"vile; nasty; of very poor quality" 恶劣
"crime; evil; sin" 罪恶
"to loathe; to hate; disgusted with sth" 厌恶
"premium; award money; bonus" 奖金
"prize; award" 大奖
"afraid; frightened; to fear" 恐
"terrible; frightful; frightening; terror; terrorist" 恐怖
"to be frightened; fear; dread" 恐惧
"to be alarmed; to be frightened" 惊恐
"stern voice" 厉声
"mournful (sound)" 凄厉
"serbia; serbian; to stop up; to squeeze in; to stuff; cork; stopper" 塞
"to clog up; blockage" 堵塞
"to slip sb sth; to press sb to accept sth; to insert surreptitiously; to foist sth off on sb" 塞给
"to stuff full; to cram in; packed tight; chock full" 塞满
"stronghold; fort; fortification" 要塞
"to sigh" 唉
"male adult; small cube of meat or vegetable; (literary) to encounter; (chemistry) butyl" 丁
"martin (name)" 马丁
"tintin, cartoon character" 丁丁
"lilac (syringa spp); clove (syzygium aromaticum)" 丁香
"warm; lukewarm; temperature; to warm up; mild; soft; tender; to review (a lesson etc); fever (tcm)" 温
warm 温暖
"gentle and soft; tender" 温柔
temperature 温度
"comfort; soft and fragrant; warm" 温馨
"warm; to warm" 暖
"central heating; heater; warm air" 暖气
"warm; nice and warm" 暖和
"to warm oneself (by a fire etc)" 取暖
"to threaten; to menace" 威胁
"authority; authoritative; power and prestige" 权威
prestige 威望
"to demonstrate (as a protest); a demonstration; a military show of force" 示威
"kilogram (kg)" 公斤
"used for its phonetic value in writing foreign words" 奈
"to do something to sb; to deal with; to cope; how?; to no avail" 奈何
"rather; quite; considerably; oblique; inclined; slanting" 颇
"rather; quite" 颇为
"biased; partial" 偏颇
"to squeeze out; to extrude; to drain; to find the time; to burst out" 挤出
"crowded to bursting point; filled to overflowing; jam-packed" 挤满
"to squeeze; to press; to extrude" 挤压
"to watch sb closely; to breathe down sb's neck; to mark (sports)" 盯住
"to gaze; to stare fixedly" 紧盯
"to follow sb; to tail; to shadow" 盯梢
"to stare fixedly; to look concentratedly" 盯视
unwilling 不愿
"aspiration; ambition; to volunteer" 志愿
"would rather ... (than ...)" 宁愿
