和 he2 gu3/yin1/yue4/di4/he2 "和 he2 (joining two nouns) and; together with; (math.) sum; to make peace; (sports) to draw; to tie; (bound form) harmonious; harmonious
和平 he2ping2 peace; peaceful
和谐 he2xie2 harmonious; harmony; (euphemism) to censor
温和 wen1he2 mild; gentle; moderate
平和 ping2he2 gentle; mild; moderate; placid"
着 zhuo2 yue4/xiao1/zhuo2/ju4 "着 zhe5 aspect particle indicating action in progress
接着 jie1zhe5 to catch and hold on; to continue; to go on to do sth; to follow; to carry on; then; after that; subsequently; to proceed; to ensue; in turn; in one's turn
随着 sui2zhe5 along with; in the wake of; following
跟着 gen1zhe5 to follow after; immediately afterwards
穿着 chuan1zhuo2 attire; clothes; dress"
地 di4 di4/li2/wei2/yan4/gu3 "地 de5 -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct
地方 di4fang5 area; place; space; room; territory
地区 di4qu1 local; regional; district (not necessarily formal administrative unit); region; area; as suffix to city name, means prefecture or county (area administered by a prefecture-level city or, county-level city)
地址 di4zhi3 address
地上 di4shang5 on the ground; on the floor"
没 mo4 mo4/wu4/shan4/li2/yuan2 "没 mei2 (negative prefix for verbs) have not; not
没什么 mei2shen2me5 nothing; it doesn't matter; it's nothing; never mind
没想到 mei2xiang3dao4 didn't expect
没事 mei2shi4 it's not important; it's nothing; never mind; to have nothing to do; to be free; to be all right (out of danger or trouble)
没了 mei2le5 to be dead; not to be, or cease to exist"
为 wei2 wei2/yi2/jian1/gu3/yan4 "为 wei4 because of; for; to
为了 wei4le5 for; for the purpose of; in order to
认为 ren4wei2 to believe; to think; to consider; to feel
为什么 wei4shen2me5 why?; for what reason?
成为 cheng2wei2 to become; to turn into"
被 bei4 xun2/mo4/yuan2/bei4/gu3 "被 bei4 quilt; to cover (with); (literary) to suffer (a misfortune)
被子 bei4zi5 quilt
被迫 bei4po4 to be compelled; to be forced
被动 bei4dong4 passive
被捕 bei4bu3 to be arrested; under arrest"
月 yue4 yan4/yue4/jie2/zi1/huang2 "月 yue4 moon; month; monthly
月份 yue4fen4 month
每月 mei3yue4 each month
岁月 sui4yue4 years; time
月亮 yue4liang5 the moon"
之 zhi1 jian1/zi1/jie2/zhi1/jiao1 "之 zhi1 him; her; it
之后 zhi1hou4 after; behind; (at the beginning of a sentence) afterwards; since then
之间 zhi1jian1 (after a noun) between; among; amid
之前 zhi1qian2 before; prior to; ago; previously; beforehand
之一 zhi1yi1 one of (sth); one out of a multitude; one (third, quarter, percent etc)"
知 zhi1 xiao1/e4/qian1/zhi1 "不知 bu4zhi1 not to know; unaware; unknowingly; fig. not to admit (defeat, hardships, tiredness etc)
知识 zhi1shi5 knowledge; intellectual
知 zhi1 to know; to be aware
通知 tong1zhi1 to notify; to inform; notice; notification
得知 de2zhi1 to find out; to learn of"
因 yin1 wei3/yin1/qu1/shan4/xiao1 "因 yin1 cause; reason; because
因此 yin1ci3 thus; consequently; as a result
原因 yuan2yin1 cause; origin; root cause; reason
因素 yin1su4 element; factor
因而 yin1er2 therefore; as a result; thus; and as a result, ..."
只 zhi1 yi2/zhi1/he2/li2 "只 zhi3 only; merely; just; but
只是 zhi3shi4 merely; only; just; nothing but; simply; but; however
只有 zhi3you3 only have ...; there is only ...
只要 zhi3yao4 if only; so long as
只能 zhi3neng2 can only; obliged to do sth; to have no other choice"
元 yuan2 zhi1/xiao1/yi2/su4/yuan2 "元 yuan2 currency unit (esp. chinese yuan); first; original; primary; fundamental; constituent; part; era (of a reign); meta- (prefix); (math.) argument; variable
美元 mei3yuan2 american dollar; us dollar
欧元 ou1yuan2 euro (currency)
纪元 ji4yuan2 calendar era; epoch
公元 gong1yuan2 ce (common era); christian era; ad (anno domini)"
第 di4 he2/wu4/jie2/zhi1/di4 "第一 di4yi1 first; number one; primary
第二 di4er4 second; number two; next; secondary
第 di4 (literary) grades in which successful candidates in the imperial examinations were placed; (literary) but; however; (literary) only; just
第五 di4wu3 fifth
次第 ci4di4 order; sequence; one after another"
成 cheng2 wei2/cheng2/ju4/di4/bei4 "成 cheng2 to succeed; to finish; to complete; to accomplish; to become; to turn into; to be all right; one tenth
成为 cheng2wei2 to become; to turn into
成功 cheng2gong1 success; to succeed
完成 wan2cheng2 to complete; to accomplish
变成 bian4cheng2 to change into; to turn into; to become"
万 mo4 mo4/zhi1/zhuo2/yuan2/wei3 "万 wan4 ten thousand; a great number
千万 qian1wan4 ten million; countless; many; one must by all means
万一 wan4yi1 just in case; if by any chance; contingency
百万 bai3wan4 million
万分 wan4fen1 very much; extremely; one ten thousandth part"
车 ju1 gu3/zhuo2/ju1/qian1/qu1 "车 che1 car; vehicle; machine; to shape with a lathe; kangxi radical 159
汽车 qi4che1 car; automobile; bus
火车 huo3che1 train
出租车 chu1zu1che1 taxi
自行车 zi4xing2che1 bicycle; bike"
句 ju4 shan4/ju4/li2/e4/zi1 "句 ju4 sentence; clause; phrase; classifier for phrases or lines of verse
一句话 yi1ju4hua4 in a word; in short
句子 ju4zi5 sentence
语句 yu3ju4 sentence
诗句 shi1ju4 verse"
同 tong2 tong2/zi1/yin1/e4/yan4 "同学 tong2xue2 to study at the same school; fellow student; classmate
不同 bu4tong2 different; distinct; not the same; not alike
同时 tong2shi2 at the same time; simultaneously
同 tong2 like; same; similar; together; alike; with
同样 tong2yang4 same; equal; equivalent"
教 jiao1 yan4/li2/jiao1/bei4/yin1 "教育 jiao4yu4 to educate; to teach; education
教学 jiao1xue2 to teach (as a professor)
教 jiao4 religion; teaching; to make; to cause; to tell
教师 jiao4shi1 teacher
教授 jiao4shou4 professor; to instruct; to lecture on"
城 cheng2 cheng2/xiao1/wei3/wei2/yuan2 "城市 cheng2shi4 city; town
城 cheng2 city walls; city; town
长城 chang2cheng2 the great wall
县城 xian4cheng2 county seat; county town
