和 huo4 jing3/you4/guan4/huo4 "和 he2 (joining two nouns) and; together with; (math.) sum; to make peace; (sports) to draw; to tie; (bound form) harmonious; harmonious
和平 he2ping2 peace; peaceful
和谐 he2xie2 harmonious; harmony; (euphemism) to censor
温和 wen1he2 mild; gentle; moderate
平和 ping2he2 gentle; mild; moderate; placid" 0
和 he4 lü3/xi4/he4/bi3/you4 "和 he2 (joining two nouns) and; together with; (math.) sum; to make peace; (sports) to draw; to tie; (bound form) harmonious; harmonious
和平 he2ping2 peace; peaceful
和谐 he2xie2 harmonious; harmony; (euphemism) to censor
温和 wen1he2 mild; gentle; moderate
平和 ping2he2 gentle; mild; moderate; placid" 1
不 bu4 xi4/bu4/fu1 "不 bu4 no; not so; (bound form) not; un-
不是 bu2shi5 fault; blame
不能 bu4neng2 cannot; must not; should not
不会 bu4hui4 improbable; unlikely; will not (act, happen etc); not able; not having learned to do sth; not at all
不过 bu4guo4 only; merely; no more than; but; however; anyway (to get back to a previous topic); cannot be more (after adjectival)" 2
就 jiu4 fu1/bi3/jiu4/xi2/chou2 "就 jiu4 (after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after; nothing else but; simply; just; precisely; exactly; only; as little as; as much as; as many as; to approach; to move towards; to undertake; to engage in; (of food) to go with; with regard to; concerning
就是 jiu4shi4 exactly; precisely; only; simply; just; even if
就要 jiu4yao4 will; shall; to be going to
早就 zao3jiu4 already at an earlier time
就算 jiu4suan4 (coll.) even if" 3
又 you4 yong3/zheng1/qian2/qin2/you4 "又 you4 (once) again; also; both... and...; and yet; (used for emphasis) anyway
又称 you4cheng1 also known as
又名 you4ming2 also known as; alternative name; to also be called" 4
里 li3 ai4/ke4/ao2/jun4/li3 "里 li3 lining; interior; inside; internal; li (surname); neighborhood
这里 zhe4li3 here
心里 xin1li5 chest; heart; mind
家里 jia1li3 home
公里 gong1li3 kilometer" 5
给 ji3 zha4/ke4/jiu4/ji3 "给 gei3 to; for; for the benefit of; to give; to allow; to do sth (for sb); (sentence intensifier)
交给 jiao1gei3 to give; to deliver; to hand over
送给 song4gei3 to send; to give as a present
给予 ji3yu3 to accord; to give; to show (respect)
递给 di4gei3 to hand it (i.e. the aforementioned item) to (sb)" 6
可 ke4 qian4/qian2/ke4/ju3/ao2 "可以 ke3yi3 can; may; possible; able to; not bad; pretty good
可 ke3 can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very
可能 ke3neng2 might (happen); possible; probable; possibility; probability; maybe; perhaps
可是 ke3shi4 but; however; (used for emphasis) indeed
不可 bu4ke3 cannot; should not; must not" 7
几 ji3 she4/mi2/hui1/kui2/ji3 "几 ji3 how much; how many; several; a few
几乎 ji1hu1 almost; nearly; practically
十几 shi2ji3 more than ten; a dozen or more
好几 hao3ji3 several; quite a few
几千 ji3qian1 several thousand" 8
或 huo4 qian4/hui1/huo4/guan4/zhou4 "或 huo4 maybe; perhaps; might; possibly; or
或者 huo4zhe3 or; possibly; maybe; perhaps
或许 huo4xu3 perhaps; maybe
或是 huo4shi4 or; either one or the other
抑或 yi4huo4 or; could it be that...?" 9
前 qian2 ji3/pu2/bu4/he4/qian2 "前 qian2 front; forward; ahead; first; top (followed by a number); future; ago; before; former; formerly
以前 yi3qian2 before; formerly; previous; ago
目前 mu4qian2 at the present time; currently
之前 zhi1qian2 before; prior to; ago; previously; beforehand
面前 mian4qian2 in front of; facing; (in the) presence (of)" 10
起 qi3 qi3/xi4/bo1/zhan1 "起来 qi3lai5 to stand up; to get up
一起 yi1qi3 in the same place; together; with; altogether (in total)
