和 hu2 nie4/qiu2/jian3/hu2/yan2 "和 he2 (joining two nouns) and; together with; (math.) sum; to make peace; (sports) to draw; to tie; (bound form) harmonious; harmonious
和平 he2ping2 peace; peaceful
和谐 he2xie2 harmonious; harmony; (euphemism) to censor
温和 wen1he2 mild; gentle; moderate
平和 ping2he2 gentle; mild; moderate; placid"
没 mei2 xu1/liao2/mei2/jing1/jing4 "没 mei2 (negative prefix for verbs) have not; not
没什么 mei2shen2me5 nothing; it doesn't matter; it's nothing; never mind
没想到 mei2xiang3dao4 didn't expect
没事 mei2shi4 it's not important; it's nothing; never mind; to have nothing to do; to be free; to be all right (out of danger or trouble)
没了 mei2le5 to be dead; not to be, or cease to exist"
还 huan2 zhu4/huan2/jing4/xuan1 "还 hai2 still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else
还是 hai2shi5 still (as before); had better; unexpectedly; or
还有 hai2you3 furthermore; in addition; still; also
还给 huan2gei3 to return sth to sb
还原 huan2yuan2 to restore to the original state; to reconstruct (an event); reduction (chemistry)"
大 dai4 dan4/you2/dai4/hu4/si4 "大 da4 big; large; great; older (than another person); greatly; freely; fully; (dialect) father; (dialect) uncle (father's brother)
大家 da4jia1 everyone; influential family; great expert
大学 da4xue2 university; college
大概 da4gai4 roughly; probably; rough; approximate; about; general idea
大陆 da4lu4 mainland china (reference to the prc); continent; mainland"
为 wei4 shan1/ying2/jia1/liao2/wei4 "为 wei4 because of; for; to
为了 wei4le5 for; for the purpose of; in order to
认为 ren4wei2 to believe; to think; to consider; to feel
为什么 wei4shen2me5 why?; for what reason?
成为 cheng2wei2 to become; to turn into"
与 yu3 hong2/qi4/yu3/jing4 "与 yu3 and; to give; together with
参与 can1yu4 to participate (in sth)
与其 yu3qi2 rather than...
与会 yu4hui4 to participate in a meeting
与共 yu3gong4 to experience together with sb"
但 dan4 shi1/chan2/dan4/zhu4/xu4 "但 dan4 but; yet; however; still; merely; only; just
但是 dan4shi4 but; however
不但 bu4dan4 not only (... but also ...)
但愿 dan4yuan4 if only (sth were possible); i wish (that)
非但 fei1dan4 not only"
现 xian4 xian4/jing1/dai4/jian3 "现在 xian4zai4 now; at present; at the moment; modern; current; nowadays
发现 fa1xian4 to notice; to become aware of; to discover; to find; to detect; a discovery
出现 chu1xian4 to appear; to arise; to emerge; to show up
表现 biao3xian4 to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc); behavior
实现 shi2xian4 to achieve; to implement; to realize; to bring about"
已 yi3 dan4/jia1/dian4/yi3/hu4 "已经 yi3jing1 already
已 yi3 already; to stop; then; afterwards
而已 er2yi3 that's all; nothing more
早已 zao3yi3 for a long time; long since; (dialect) in the past
不已 bu4yi3 endlessly; incessantly"
以 yi3 jiao3/yi3/zhen1/chan2/jian3 "可以 ke3yi3 can; may; possible; able to; not bad; pretty good
以 yi3 to use; by means of; according to; in order to; because of; at (a certain date or place)
所以 suo3yi3 therefore; as a result; so; the reason why
以后 yi3hou4 after; later; afterwards; following; later on; in the future
以及 yi3ji2 as well as; too; and"
家 jia1 zhu4/shen1/hu2/jia1/huan2 "家 jia1 home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-han china; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to english -ist, -er, -ary or -ian
大家 da4jia1 everyone; influential family; great expert
国家 guo2jia1 country; nation; state
家里 jia1li3 home
回家 hui2jia1 to return home"
真 zhen1 zhen1/qiu2/wei4/shu1 "真 zhen1 really; truly; indeed; real; true; genuine
真正 zhen1zheng4 genuine; real; true; really; indeed
认真 ren4zhen1 conscientious; earnest; serious; to take seriously; to take to heart
真实 zhen1shi2 true; real
真相 zhen1xiang4 the truth about sth; the actual facts"
觉 jiao4 you2/jia1/jiao4/mei2/shi1 "觉得 jue2de5 to think that ...; to feel that ...; to feel (uncomfortable etc)
感觉 gan3jue2 feeling; impression; sensation; to feel; to perceive
睡觉 shui4jiao4 to go to bed; to sleep
觉 jue2 to feel; to find that; thinking; awake; aware
发觉 fa1jue2 to become aware; to detect; to realize; to perceive"
叫 jiao4 jiao4/die2/xian4/dian4/yan2 "叫 jiao4 to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood)
叫做 jiao4zuo4 to be called; to be known as
名叫 ming2jiao4 called; named
叫道 jiao4dao4 to call; to shout
尖叫 jian1jiao4 to screech; to shriek"
位 wei4 yi3/jiao4/hong2/die2/wei4 "位 wei4 position; location; place; seat; classifier for people (honorific); (physics) potential
单位 dan1wei4 unit (of measure); unit (group of people as a whole); work unit (place of employment, esp. in the prc prior to economic reform)
这位 zhe4wei4 this (person)
位置 wei4zhi5 position; place; seat
地位 di4wei4 position; status; place"
四 si4 dan4/liu2/qiu2/si4/xu1 "四 si4 four; 4
四十 si4shi2 forty; 40
四周 si4zhou1 all around
四处 si4chu4 all over the place; everywhere and all directions
十四 shi2si4 fourteen; 14"
由 you2 you2/hu4/shi1/yu3/mei2 "由 you2 to follow; from; because of; due to; by; via; through; (before a noun and a verb) it is for ... to ...
由于 you2yu2 due to; as a result of; thanks to; owing to; since; because
自由 zi4you2 freedom; liberty; free; unrestricted
理由 li3you2 reason; grounds; justification
由此 you2ci3 hereby; from this"
带 dai4 shu1/wu3/mei2/liao2/dai4 "带 dai4 band; belt; girdle; ribbon; tire; area; zone; region; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise
带来 dai4lai2 to bring; (fig.) to bring about; to produce
一带 yi1dai4 region; district
带有 dai4you3 to have as a feature or characteristic; to have an element of (confidence, sweetness, malevolence etc); to carry (a pathogen, connotation etc)
带领 dai4ling3 to guide; to lead"
见 xian4 you2/shi1/xian4/hu2 "见 jian4 to see; to meet; to appear (to be sth); to interview; opinion; view
见到 jian4dao4 to see
见面 jian4mian4 to meet; to see each other
只见 zhi3jian4 to see (the same thing) over and over again; to see, to one's surprise, (sth happen suddenly)
再见 zai4jian4 goodbye; see you again later"
需 xu1 yu3/shi1/xuan1/xu1/yan2 "需要 xu1yao4 to need; to want; to demand; to require; needs
需 xu1 to require; to need; to want; necessity; need
需求 xu1qiu2 requirement; to require; (economics) demand
无需 wu2xu1 needless
必需 bi4xu1 to need; to require; essential; indispensable"
书 shu1 jing1/yi3/shu1/jian3/jiao4 "书 shu1 book; letter; document; to write
读书 du2shu1 to read a book; to study; to attend school
书记 shu1ji5 secretary (chief official of a branch of a socialist or communist party); clerk; scribe
图书馆 tu2shu1guan3 library
书店 shu1dian4 bookstore"
电 dian4 huan2/xuan1/nie4/dian4 "电话 dian4hua4 telephone; phone call; phone number
电影 dian4ying3 movie; film
电视 dian4shi4 television; tv
电脑 dian4nao3 computer
